"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
 -1,"  that was all you own it the only thing republicans are working hard at destroying our country",Negative,
  0," words are not enough to express so heres a ",Neutral,
 -5," fuck you you are the one holding them ransom you lying sack of shit",Negative,
 -1,"  you are a fool to believe yourself",Negative,
  0," yeah hardly working playing golf in south florida",Neutral,
 -1," why did you end daca  you dont want it and you know it you are such a liar",Negative,
 -2,"  oh  kellyann you must be kidding us democrats waited for republicans to do what they promised not voting is not a no  stall stall stall is not either",Negative,
 -4," you are such bullshit trump it is disgusting the stupid crap that you spew",Negative,
  1," i agree if the dems were truly concerned about daca they would be trying to figure out a way to help them instead of holding out for their own agenda",Positive,
  0,"  you are an odiot",Neutral,
 -1," fuck you",Negative,
  4," i said a prayer that your immigration plan will pass to st francis xavier cabrini patron saint of immigrants bless you and the immigrants",Positive,
  0," i cant believe youre in the whitehouse",Neutral,
 -2," you need to stfu if you dont know what that means  shut the fuck up",Negative,
 -1,"  liar",Negative,
  3," reagan tore walls down and you put them right back up if you were any kind of leader you would open the borders up and place all financial responsibilities onto the states",Positive,
  2," nice photo op in florida great thumbs up in the light of such a tragedy those kids are coming for you and your fellow republicans",Positive,
  1," why dont you try just workingperiod",Positive,
  1," we cant believe that you took away protection from the dreamers you alone you have badly hurt dreamers you alone can fix this do good and not harm please change the world needs you to do better and more good",Positive,
 -1," yet the democrats keep running their mouths telling lies and trying to stir up trouble  to cast the light of the truth away from them",Negative,
 -3," youre a fucking idiot youre the one who put daca recipients in this bad position",Negative,
  0," ",Neutral,
  1," you are a joke as soon as you are a regular citizen i will walk up and slap the shit out of you nothing you can do i am a disabled white veteran so really can do anything",Positive,
  1,"  dems dont care about people just votes and power",Positive,
 -3," lets stop commenting on every little thing this man is doing and to remove him and his family and friends out of our government how much longer would the truth be aload to be hidden about this crook",Negative,
  0," temporary solution for illegals until immigration is fixed all illegals living in us illegally should be temporarily relocated to california the headquarters for pro illegal immigration where it is accepted illegals should be restricted from leaving ca until legalized",Neutral,
  1," donny deflects back to dacaonce again leveraging peoples hopes and dreams for his benefit sad sick basturd  resignnow",Positive,
  0," what  you are the one who ended it and effed it up wow  what a dope",Neutral,
 -3,"  from the monster who cancelled it you really think americans dont see your a criminal you cant go minutes without lying",Negative,
  1," it is a fact that trump didnt know about it  why dont you read up on this",Positive,
 -2," lying fraud",Negative,
  0," you are a very sick man gitmo has a special cell with your name on it",Neutral,
 -1," liar  pants on ",Negative,
  1," keep saying it maybe someone will start to believe it",Positive,
 -1," you are an orange idiot",Negative,
  1," you ended daca but please do continue to provide proof you are a moron",Positive,
 -3,"  stop working if you reward foreign invaders for breaking the laws then law abiding citizens have less incentive to observe the laws were tired of this bullshit do what you said you were going to do please",Negative,
  2,"  i cant believe how ridiculous that educated americans can be  some of them are just plain stupidpeople who are supposed to be leading are following evil over the edge",Positive,
 -5," lies lies lies   yawn your show is getting banal",Negative,
  0," you cancelled daca",Neutral,
  1," you are a liar  even republican senators have stated publicly that you scotched the deal not dems",Positive,
 -1," what you are taking people who have not done anything  ripping families apart  you are vile",Negative,
  0," working hard at what cancelling daca go back to golfing old man",Neutral,
 -2," nobody has treated daca recipients worse than donald j trump you damn fool",Negative,
  6," let them stay but dont let them vote for  years dont pay them beni fits its not fair when seniors dont get enough to live and they cant get benefits they are able to work they are not",Positive,
 -2," hahaha what clueless disgustingpresident disgraceful",Negative,
  1," hey better get your memory right you seem to have amnesia ",Positive,
 -1," lies",Negative,
 -1," hes insane",Negative,
 -1,"  this coming from the person who wants to deport all immigrants",Negative,
  0,"  omgthey particularly remember how badly you treated them by rescinding obamas daca protection act shortly after you took office we the majority of american remember too how can you be such a hypocrite all the time",Neutral,
  0," your a joke  your words carry no validity ",Neutral,
  0," you never except blame do you you dont want to help dads at all your parents were immigrants baldy",Neutral,
 -2," you lying fuck",Negative,
 -1," liar",Negative,
  0,"  you rescinded daca not the demsyou the stupidity is unreal",Neutral,
  1,"  is coming be ready to pack",Positive,
 -1," are they donald or is this one more of your lies",Negative,
  0," you are a total psychopath",Neutral,
 -1," you cancelled daca and now use them to ruin our country  worst president ever",Negative,
 -4,"   gopcouch potatoes with bribe money falling out of their pockets to send only false prayers and no hope to america torn ravaged by bullets fired from ar  military rifles you allow sold all over the usa so more defenseless citizens be murdered in cold blood",Negative,
  1," no daca amnesty chain migration citizenship or freebies americans first  fix healthcare",Positive,
