"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  0," ",Neutral,
 -5,"   any russians there shoving cash up all the trumps assholes how about those two ladies you screwed with that teeny weenie little potus of yours did your fat gut obstruct mr penis from reaching malaria will be leaving your mr pig believe me  go suck putin",Negative,
 -2," incredible people how about heartbroken in shock people you did not care all you cared about was getting to your golf game coward",Negative,
  1,"   you guys are looking at a landslide defeat to the democrats wthese teenagers if you dont do somethinganythingto protect these kids im sure you can come up wan effective law that everyone wbe ok with double your voting base do something that matters ",Positive,
  5," you showed great strength and courage god bless you",Positive,
  0,"   ",Neutral,
  0,"  trump is impotent to do anything a real embarrassment to our country",Neutral,
 -3," and i bet they will never forget your insincere fake bullshit",Negative,
  4," i love how you mr my president and the first lady continuously show your love for our country and we the people thank you you already have my vote for ",Positive,
 -2," do you mean the gala at maralago where you celebrated after the horrific mass murder",Negative,
  0,"  it can easily be shown that a majority of all americans disapprove of your presidency moreover it could be proved that a strong minority of all americans condemn you as a traitor to our democracy and certainly to any american moral compass fbifla shootingsrussia indictments",Neutral,
  3,"  security guards in schools win win",Positive,
 -1," how many names do you remember from this catastrophe  noneright",Negative,
  1," the massacre of children can be bigly exciting  were looking forward to the next one",Positive,
  1," i do not own guns but am not opposed to peole having them the auto weapons are not needed by anyone outside of military if ur legislator supports them dont vote for them they are used to kill people and no it will not lead to the govt taking away ur pistols come on people",Positive,
  0," how did you look them in the eye after taking mm from the nra in campaign donations",Neutral,
  2," god bless you both",Positive,
 -5," so what do you say we take the automatic weapons off the street the nra doesnt need them for hunting as that would be overkill for any animal the only people that need them are our troops that are fighting wars the nra should not have the power to buy off our legislators",Negative,
  0," do something incredible then dont forget why you were in broward county ",Neutral,
  1," that is how you respond if you were at a dinner party",Positive,
  1,"  you dont care you are such a heartless person how can you smile and do a thumbs up photo op when something like this just happened ",Positive,
  6,"  thank you for the amazing things you are doing for this country  she has been broken but she is healing and we will all thrive again  god created the earth for all of us to benefit from if we handle it with care",Positive,
  0,"  what does your wife think about this ",Neutral,
  0," you were there for seven minutes according to news reports",Neutral,
 -1," you are still a horses asshole",Negative,
  1," im sure you did as you ran off to go party at your golf club",Positive,
  1," one fuckin tweet about what is really important  the rest covering your ass  clink clink donnyits coming",Positive,
 -1,"  fuck you ",Negative,
 -1,"  youre a piece of shit",Negative,
  2,"  well then youve clearly not met each other then have you",Positive,
  1," wow what a series of tweets youve had going here convinced youre not guilty of collusionobstruction of an ongoing investigation nah youre acting like a rabid cornered animal ease up",Positive,
 -1,"  i am sure the fbi is proving its case off treason against you",Negative,
 -1," self serving noise",Negative,
 -1," fuck you",Negative,
 -1," yes you butted in with you very large mouth gun enforcement and russia arent not the same thing",Negative,
 -1," mr president please prove all the naysayers about you wrong please push congress to pass a ban on the sale of all assault rifles",Negative,
  0," we need a federal investigation into school shootings including the one in florida and sandy hook",Neutral,
  0," way to show sympathy you sociopath ",Neutral,
 -2," you are the biggest freaking assholeafter what happened in parkland this is all you have to  are the biggest idiot ever electedresign",Negative,
 -3," too bad you made it easier for mentally ill to obtain assault rifles moron ",Negative,
  3," thank you for your awesome job in maga",Positive,
  0,"  minutes in the school the real excuse for going to florida was your party at your club",Neutral,
  0," yes you had a photo op didnt you thumbs up did you visit the victims with your thumbs up to them it isnt a victory for you that you stopped in for a photo dude ",Neutral,
 -1," teach anger management   anger is killing us",Negative,
  0," waitshe still hasnt smothered your philandering ass bet you sleep with one eye open ha",Neutral,
 -3," we need to teach anger management  anger is killing us not mental illness",Negative,
 -2," people keep blaming the shootings on gun control laws people will have guns no matter what illegally or legally what we need to focus on is why so many people have mental illness in todays world why are these kids thinking that killing is the solution who influences them",Negative,
  0,"  gun reform now",Neutral,
  1," yet youll never advocate any change",Positive,
  3,"  its not a good discussion to make donald the president",Positive,
  0,"  then why did you make it about yourself by tweeting about russia ",Neutral,
 -1," after which melania went to see her boyfriend while your raggedy old ass ate junk food alone in bed",Negative,
 -1," stop gun",Negative,
  0,"     ",Neutral,
  1,"  we love our presadent ",Positive,
 -3," are you talking about the people that bought membership in your shitty little golf course i have seen some shit courses before but yours are the worst",Negative,
 -2,"  so i see people wanting gun control well maybe if the good guy was packing maybe he could of taken out the gunman and there wouldnt of been so many people killed gun control doesnt work just look at chicago  highest crime rate in usa gun control u put guns in criminals hands",Negative,
  1," please talk to us",Positive,
 -1," its a shame you couldnt meet  more",Negative,
  2," its nice that youll remember these good people but what are you actually going to do for them",Positive,
  2,"  gov scott has it right america needs a new director fbi failure is not an option",Positive,
  2," the greatest president ever hpd ",Positive,
  0," and then she went to her own hotel and ditched your ugly ass even your money cant buy her these days",Neutral,
  0,"  africa is waiting for to help the dictator s",Neutral,
  0," why did you grab that doctors arm so aggressively try more gentle handshakes especially with professionals who need their arms",Neutral,
  1," how is melania feeling about the  paid on your behalf to quelch your yearlong affair with whats her name  just asking",Positive,
  0," mr president i think you totaly confused",Neutral,
  1," melanie doesnt like you at all",Positive,
  0," please leave public life forever",Neutral,
  2,"  and then you went home and tweeted youre usual tripegun control will not happen as long as you and youre party take their bribessorry political donations",Positive,
  1," you say melania and i like its a thing lol",Positive,
  0,"  stop undoing this ",Neutral,
  0,"  at the porn star conference",Neutral,
 -1,"  they want to forget you",Negative,
