Sentiment_Score,Tweets,Sentiment_level.score
-1, fake news from the con man of the century,Negative
-1, no gun control the american people will fight to keep their gun rights,Negative
-1, you make me sick,Negative
0,  stop  nra,Neutral
-1,  work with him to repeal the age limit letting children buy guns is wrong,Negative
2, what a quinella scott and trump you notice scott gets top billing higher iq but not by much,Positive
3, theres a solution with out messing up our nd amendment rights even if everyone wakes up to the fact that the second amendment gives them the right to carry concealed or open read it theres no restrictions,Positive
-1, fuck you,Negative
-3, we need to work on the arrest and charges of members of our government for treason as well as many other charges of which they have been clearly guilty ofseems theyve been too busy with their own criminal activity screwing with our elections for starters to do their job,Negative
1,  what is your plan  is it a little more substantial than the one you proclaimed at inauguration,Positive
-2,  to do what if your actually doing something highly doubt it dont you think the people in parkland deserve to know they are very vocal about how they feel maybe if they knew you were really going to do something highly doubt it it would relieve some of their stress,Negative
3, the greed of the nra will kill the goose that lays the golden egg middle path laws are best where nra can make profit and people are safe,Positive
2, we love you not sure why attrny generals in many states aremay be accepting soros ,Positive
1, we definitely need more security at our schools use the national guard if have to,Positive
-4, name one person or group that could possible need an assault rifle there is no way any citizen or non military group could ever need one just ban those and your unnecessary school shootings would reduce in body counts,Negative
-1, hey you are too late on that,Negative
-1, youre not doing crap  we  is that a mouse in your pocket,Negative
-1,  so did the two of you come up with some common sense gun safety laws btw i already know that the answer is no so pathetic,Negative
-2, hey trump  go fuck yourself you worthless piece of dog shit,Negative
-2, why do you need to talk youve taken blood money from the nra you are part of the problem you have contributed to the murders of children lies on top of lies,Negative
-3, what are you working on  how much more blood money you can get from the nra shame on you complicit in murder blood on your hands,Negative
0, last time i checked you and governor scott seemed most interested in using this shooting to get rid of the head of the fbi  not for personal reasons at all of course,Neutral
1, metal detectors bullet proof glass and sros in every school govt funding for these things make it happen our children are worth the ,Positive
-2, the only way to get righties to acknowledge white male shooters is tell them its the fbis fault remember when they believed all law enforcement above reproach too hypocrisy whatevertrumpsaysisyourtruth,Negative
-9,  kids died in car wreck in indiana whole family do we blame drunk driver or car  people kill not things or items not rope knives skateboatds snowmobiles motorcycles hammers baseball bats boats planes hocky stick do we stop selling them nopeople kill crazy people kill blame,Negative
0, could i send you a set of law darts,Neutral
-1, whats to work on they got the kid shooter lethal inject the little fucker and let him be an example for other murderous pieces of shit trump do your job,Negative
1, no support here in mississippi at this time mayor c lumumba need to fire he come to work been late  hours straight making him as a no show we need a new mayor asap schools are close workers are serving sandwich bags and we have to water in mississippi,Positive
3, when will you please find it in your heart to put something in place to prevent these tragedies we dont need to ban all guns we just need some kind of common sense reform not  cronies you vs democrats never getting anything donethoughts and prayers,Positive
3, why was this young man allowed backninto the school why was he not stopped we need security guards in our schools im sure alot of ex retired military would step up and guard our schools,Positive
-2, two words gun control,Negative
-4, law enforcement failed why is it in a domestic violence situation if there are guns in the household they are confiscated yet in this horrific situation things were overlooked so very very sad,Negative
-1, you and scott  bigtime nra  recipients will go down its unthinkable that a kid too young to drinksmoke can walk in a gun store show his drivers license and walk out with an automatic weapon  never mind his mental state you both have bloody hands,Negative
-3, its just so sad how kids are mean no one should go to violence to solve any problems ,Negative
0, please control guns,Neutral
1, fk em just future democrats,Positive
-3,  what can you possibly offer law enforcement its already happened law enforcement isnt needed now goddamn you are stupid how anyone can think youre great are damned fools,Negative
-4, pls order all school districts to send to local law enforcement and the fbi photos and info on expelled students expulsions are legal mandates following serious and dangerous violations schools fail to recognize dangerous exstudents when they return to their former campuses,Negative
-2, coming events caste their shadow beforehandshould be treated as a warning  unless the problem of immigration ist solved others such as cultural integration remain und add to bullying im schuleso sad to learn about the incident may god with the president,Negative
-1, why is the us the only country to have this problem donnie  hint not because we have more crazy people not video games not movies  the only difference is the number and availability of guns  do you think this may have something to do with this genius,Negative
-1, what are you doing its over no mystery here  no investigation needed wow you really are dumb,Negative
-1, law enforcement isnt the problem dumbass don  they are doing an outstanding job  its you and congress that have sold out to the nra  shame on all of you  you know who you are money for the lives of our children  disgusting,Negative
2, butit already happened wed like to know what youre doing to make sure this stops happening,Positive
-4, empty words from an empty head trump and scott have no desire to do anything about the real tragedy that anyone in the us can buy an ar or other assault weapon what these two can do is act to prohibit this outrage and stop taking millions from the nra their puppeteer,Negative
-2, if you think it is the owner ship of guns that caused this you have missed the point entirely  it is shitty parents and unaccountability  how about nyc chicago and new orleans gun free zoneshighest murder rates,Negative
0, oh the guy with the a rating from the nra who bragged about not passing gun legislation to help his state  bravo,Neutral
0, vote repubicans out in ,Neutral
-6, dont  you know that having a military parade in dccould possibly set us up for a catastrophic  event by terrorist having so many military men women in one place along with the artillery  tanks etc that we use just invites all terrorist in the world to rain down death on us,Negative
-1,  you both need to resign and quit supporting the nra you both have done nothing to protect our children in schools or america and you never will sad,Negative
3, u have to council the children dispite of bery bad position of economical and social in pakistan or other muslim countries no such event happen please work on it if these people will than u could be anle to rule,Positive
0, you need to work some legislation,Neutral
-1,  you need to talk to fl sheriff judd and learn about his sentinel program  we need that program and we need a ban on gun free zones,Negative
-1,  days before school shooting in florida  dead the trump administration proposed cutting  in federal education programs meant to help prevent crime in schools and assist them in recoveries from tragediesspare me your thoughts and prayers policyandchange,Negative
-1, the conversation consisted of how can we spin this to undermine the fbi ive got to get them off my back over this russia thing and that was all you two have done,Negative
-3, are you still speaking to   ask about his a rating with the nra ask him about his lax gun laws how he kept lowering the cost of permits to make it easier for ppl to own guns ask him why hes signed more pro gun bills than his predecessors ,Negative
-1, too littletoo late,Negative
-1, you lie,Negative
-1, you need to ask governor rick scott what happened  ,Negative
-1, use your nra money to help pay down the debt you ran up with the bogus tax bill,Negative
1,  stop tweeting and have the guts to talk on tv do something to stop the massacres,Positive
1, you can be reactive or proactive  so far ive only seen reaction by your administration and the gop  ive seen proactiveness by the dems provemewrong,Positive
0, it is time to stop thinking about yourself act like a leader or resign stop whining about russia and losing the popular vote,Neutral
0, ,Neutral
2, what exactly did you do working closely suggests you actually took action,Positive
1, dont use the word we,Positive
-1, are you working toward serious gun control or is this just all bs,Negative
1, you talk but nothing happens,Positive
1, whwn you say you are going b to work on this  what exactly are you doing,Positive
-2, the damage is already done idiot,Negative
1, should be working with congress you twat,Positive
0, wecallbs,Neutral
1,  you dont know what work is you dont know what being a president is your just a big fat goon sitting in the oval office,Positive
-1,  broward county sheriff first republican then democrat  hes dirty  what about principal why is secret service training their students for code red attacks then attack cruz the perfect patsy deep state vs trump,Negative
1, keep your wordnational carry reciprocityonly good people know what it means,Positive
2, liberals want schools protected by impeding the protectors to carry protective tools insanityreadines to respond is protection you take away from trained individuals the capacity to neutralize a shooter and innocence is killed ,Positive
0,  yeah right wwhat are you going to do go back to washington dc and overturn something else important and needed in this country that obama set forth youre such a freaking joke,Neutral
0, shameonyou wecallbs,Neutral
-2, you figure out any solutions to the gun issue while you were are the th hole this weekend im sure the grieving parents attending their childrens funerals about  miles from you would love to know,Negative
1, working closely with the fbi,Positive
0, why did you make it easier for anyone to buy a gun,Neutral
-1, were in real trouble now two morons together,Negative
-1,   bs,Negative
-1,  bs,Negative
-3, empty words worthless  just like you loser bonespurbozo worst  trumpruinsamerica,Negative
0, tell us what you and rick are working on rick passed five bills loosening gun laws  bragged about it you killed an obama era bill that made it harder for the mentally ill to purchase guns what are the two of you working on saving his career or yours gunreformnow,Neutral
-1, how much did you receive in bribe money from the nra shame on you,Negative
0, i wanted to write something witty and dry in retaliation to this but wit has no place in these circumstances instead ill settle for a simple go fuck yourself you nra whipping boy no one cares what pointless empty sentiments you may have  we just want you gone,Neutral
-2, so u told him to call for the resignation of wray why  because he not kissing ur big ass its not   fault what fed law was broken cruz met over  local police was never arrested   and  they took responsibility  for their part,Negative
4, we just like a narcissist to take credit for someone elses work its the broward county sheriffs dept and fbi,Positive
-1, how about just a little gun control,Negative
-2, yeh it is terrible so do something and stop failing us other wise its going to be more lives lost next time,Negative
-2, we call bullshit   m bribe from the nra what does it feek like to be an nra whore,Negative
1,  to do what pray,Positive
-3, you fucking nra whore hypocrite,Negative
1, you yanks are just a bunch dicks with your gun laws the rest of the world pitys you,Positive
-1, liar,Negative
3, i have the solution and curriculum that will reduce and prevent mass shootings please contact me for further info,Positive
1, working with scott to do what be an even bigger fucken idiot ,Positive
-1, republicans condemn the liberals repeatedly for wanting more freedom for the people yet condemn them the instant they suggest removing freedom of gun ownership fucking dumb yank hypocrites get your knuckles off the floor and support the right to live,Negative
-1, doing what perp in jail  people are dead most children what could possibly do to support fla you havent gone to a funeral visited parents of slain students photoop than a party  tweet they are evidence ,Negative
1, even scott is turning on you ,Positive
1, how much did the nra contribute to your campaign im curious,Positive
0,  all of you were given millions from the nra,Neutral
0, mr trumppourquoi ne parlez vous pas du vrai probleme de la securite en amerique  les armes circulent entre les mains de nimporte qui et nimporte comment ,Neutral
0, both you and the fla gov rick scott want to point fingers at the fbi for political reasons truth is there many signs missed by social workers police the gun dealer etc floridas gov rick scott is to blame for not standing up to the nra trump scott are complicit,Neutral
-3, so what exactly are you doing closely with them  blah blah blah,Negative
0, did you get a bigger button,Neutral
4, we will have tremendous thoughts and prayers the most tremendous and best thoughts and prayers,Positive
1, we are working closely to replace both of you,Positive
0, too bad you work closer with the nranrabloodmoney,Neutral
