Sentiment_Score,Tweets,Sentiment_level.score
1, smucky chucky and botox nancy do not to solve this issue only talk about it for votes do not trust them,Positive
-1, you are the one who put the end date for daca now you say you dont want it to end i am confused,Negative
3,  there are years of videos proving the dems flip flopping on immigration if you say the sky is blue theyll say its gray they dont want a deal,Positive
1, what would be great is if you resigned like now,Positive
-1, it was solved until you retards fucked it up,Negative
1, remember your campaign promises,Positive
-2, a criminal international conspiracy hey duck they are comming for you,Negative
1, you are not keeping campaign promises by keeping daca recipients here,Positive
0, get rid of them future demonrats thats how they vote they had plenty of time to get leagal no more immigrants espically muslim,Neutral
2, it may get resolved once we have a president,Positive
-2, you donnie started the problem in the first place and have no business disparaging either the dems or reps,Negative
-1, and there you are the guy who caused the current daca problem you were left on the sidelines because you dont understand the issues and are incapable of working with others so you watch tv and tweet all day while others clean the bed that you shit indaca magamoron  trump,Negative
3, the ignorance in your tweet is unbelievable maam daca recipients  arent even your age whos job are they even taking what rewards are  they even getting the american government benefits from daca through  the cost of application and renewal do some rese,Positive
0, they must go back,Neutral
-1, deport them all unless they are first responders and military,Negative
0, it was solved and then you oh great deal maker fucking ruined it,Neutral
3, it has to be  years from the day the law passes before the daca people can vote they have to work for a living no government support handouts sanctuary cities have to go we need the wall the lottery and chain migration has to end everybody cant live in the united states,Positive
0, it was not legislated and its not law no daca,Neutral
1, my take on dacapeople wont like what im posting but i dont care,Positive
5, that sound good mr president trump i support you,Positive
-1, daca was never a puzzle and for you to think so  that you fool that does not understand  world future and do not understand victims women honest people or the very concept of regulation and the act of deregulation fail unable to sort out solutions but willing to con,Negative
3, whatever the outcome it must be for the interests of us american born  citizens and even if that means mass deportation of these unruly people right is right,Positive
4, sure there will be they will just give them an extension they day never ends anything to keep the suspense going,Positive
0, trump the easiest solutions is for you to reinstate dacaperiod  you created this mess  again want to blame any  everyone else besides yourself so sad ,Neutral
-1, duh wake up you idiot and be a facilitator and a leader you dont know what either of those terms mean,Negative
0, your going to jail haha love it,Neutral
1, all you do is divide america america has always been great and you had nothing to do with it your days are about over fake president white supremacist asshole,Positive
-1, fake news,Negative
-1, yes your holding decca ransom for the wall,Negative
-2,  replying to   your threats re daca makes you sound just like a dictator which you aspire to become  shame shame although i doubt you know the meaning of shame,Negative
-3, so why did you kill the most recent bipartisan daca bill from congressseems to me you and mitch mcconnell want to satisfy your extreme rightwing racist base and deport all the dreamersyou stink sir,Negative
2, trump leftist dem a liar republican constitutionalist do not want  to make an unconstitional  deal   just like your  peace deal  farce you are fraudulent  compromising at the expense of our hardworking citizens  u admitted illegal uncontitional breaking  oath again ,Positive
-1, hears a deal you and the other globalist controlled puppets legalize daca and we the people move much closer to civil war to take back our country from the globalist agenda to destroy our country who turned you to the nwo,Negative
4, that would be great but you wont just stand by promises already made you want a stupid stupid wall as usual it is all about what you want not about standing by previous promises made,Positive
-1, fake newsfake tweet,Negative
3, mr trump you can only do so much you are a smart man work on immigrants the wall an economy an youll be the man thanks for your hard work,Positive
-1, please dont back down we the people dont want that please,Negative
-3, obama had solved many problems and your racist ass overturned all them are dumbdummydonny,Negative
-3, i think you and the   be very afraid of the parents whose children you slaughtered they  have nothing else to lose,Negative
3, god do you ever shut up   stop tweeting and support the bipartisan efforts to support the dreamers  jeez shut up,Positive
-1, sorry such bs  mr trump do you ever think before making a tweetstatement,Negative
1, no dacayou promised,Positive
1, watch your back  we the people dont trust all republicans,Positive
1, if its not good for america  kill the deal,Positive
1, would be nicer if you hadnt ripped up the deal they had,Positive
0, liberalism is the root of all evil maga,Neutral
0, there was a solution you killed it,Neutral
