Sentiment_Score,Tweets,Sentiment_level.score
0, so you finally know who the congressional black caucus is lmao,Neutral
-6, could all of you at least for one freaking day stop your bullshit hate rhetoric that you stir up every day and claimed that he spreads i hear more hatefilled crap from you people that i have anywhere else on the planet,Negative
-2, but lots of those people had ancestors who came from shit hole countries didnt they,Negative
0,  stop undoing this ,Neutral
-2,  you are sooooo phony  do you think they do not feel your charade,Negative
-1, hypocrite,Negative
-2,  ruth your racist track record it must be difficult to pretend caring,Negative
-2,  you lying racist,Negative
0, shihole trumpest  your hypocricy is of high level baba,Neutral
3, those nazis sure are fine people though right,Positive
-2,  you are a frigging hypocrite,Negative
0, you know how you could really celebrate the black community by not being a racist twat,Neutral
-1, which african americans like the person that you said was born in kenya the one whose claim you didnt take at face value youre stupidity and hypocrisy are olympian,Negative
1,  amen,Positive
1, its clear someone wrote this for you perhaps your account was hacked,Positive
0, ,Neutral
-1, full genocide  israels war on america using immigration,Negative
1,  africans are being raised and trained tokill white people world wide obama  genocide ,Positive
2, this coming from the most powerful bigot in office grow up don,Positive
-2,  this must have killed you having to be in the same room with all of those black people they must hv given you a lot of tranquilizers,Negative
-1,  fraud,Negative
-1, the proclamation is meaningless,Negative
-1, hahaha  what a lying jackass,Negative
0, you placate nazis for their votes you cant have it both ways keep civil rights heroes out of your damn mouth and off of your twitter you do them a disservice,Neutral
-1, give me a break,Negative
-1, you are as phony  as a three dollar  bill,Negative
0, you have no business even speaking you racist,Neutral
1, you are such a liar and im sure you didnt read the proclamation your mo is divide  conquer not as we come together to celebrate,Positive
-1, another  points for racial discrimination  points now,Negative
-3, youre a fucking lying racist lunatic no one believes a word you say so save it asshole,Negative
-1, aa hate you,Negative
-4, if this isnt one of the worst bigoted tweets ever a bigot racist trying to praise africanams ,Negative
1, let this be the new crucible through which public policy is framed and enforcedwords matter when actions speak,Positive
0, hoped you say no to discrimination and mean no god bless us,Neutral
-2, for gods sake please shut up you are an idiot and a traitor ,Negative
1,  you neglected to thank elan musk an african immigrant for his serviceso much so you claimed him as your own so that you could brag about us achievements in space explorationhe is not american,Positive
-1, boy bye ,Negative
2, how will you celebrate put your klan robe in the closet for a while ,Positive
-2, oh my god you had a twitter fight with john lewis you fucking twat,Negative
-1, liar,Negative
0,  donalddo you really think sane people actually believe your lies  ,Neutral
-1,  screw you and the racist horse you rode in on ,Negative
0,  we also need to rewrite history books on native americans and publicly identify each tribe create an official holiday designation nationally  no one group has suffered the total losses at the hands of others true americans who lived a true freedom of life and religion,Neutral
1, applaud,Positive
0, cant you do anything without making it an ad,Neutral
1, muito bom para bens senhor donald j trump,Positive
0, really nibba ,Neutral
-1, you are a racist nobody believes a word you say resign,Negative
2, who wrote this for you you dont give two squirts of piss about civil rights and black history month kneeling for civil rights is treasonous though foh lol,Positive
2, and they all had con their  table assignments  so you knew who not to invite back to the white house,Positive
-2, if were gonna get over racism in america how come there is even a black history monththere is to much at all times reminding use all of slavery tearing down historical monuments give and take what about wearing african colors in our great hall thats of america ,Negative
-2, god you make me sick you racist dick,Negative
2, why bother you have not said anything positive towards people of color nor towards people with disabilities you are a disgrace to the office of the president of the united statesyou are not a champion of the people youre  a menace to our freedom our way of life,Positive
0, what about native american indians,Neutral
2, trump  i may have declared your entire heritage as coming from shithole countries but im happy to be here for a photo op,Positive
3, yes africanamerican contribution to this great nation have made this a better place for all of us,Positive
-2, we know your history of racists comments you havent evolved  fake,Negative
1,  i love how the antitrump trolls bots and fools attempt to overload our presidents tweets with replys with the attempt to create an illusion that the majority of americans are against him hey soros youre losingwe americans see right through their effortstrump  ,Positive
-1, of which you know nothing just like any other topic youre a disgrace little donny chump to our white house and to this nation die already asshole,Negative
0, you certainly didnt write this tweet did you fake president liarinchief,Neutral
-1,  your a racist  quincy jones fucked ivanka before u did,Negative
0, im confused  you dont like africanamericans remember central park,Neutral
-2,  youre such a fake racist,Negative
0, and we are,Neutral
-2, your a big fat liar mr president you really think a tweet will make believers out of those who know who you really are we see your heart we wont be moved after all youve done to hurt the people with your fake everything impeachment is coming so please keep the faith sad,Negative
-1, you hate people of color,Negative
0, whatyouracistinchieffunny how maga attracts neonazis the kkk and whitesupremacists and massshooters,Neutral
0, trump  racist,Neutral
0, gotta watch out for them tweekers,Neutral
2, lots of talk no action,Positive
2, all of us as responsible american citizens must not let the powerful corrupt our u s constitution or bill of rights,Positive
0, knobhead ,Neutral
0, i,Neutral
0, no one believes u,Neutral
3, you dont deserve to live in the house built by slaves and occupied by some of the most amazing people in our history including barack obama,Positive
0, donald trump doesnt care about black people,Neutral
0, like you actually care  racist,Neutral
-3, bigot sums it up    your words mean nothing to the african americans people  they didnt even vote for you  less than   wow that doesnt even register as lowest of low,Negative
-1, but yet he criticizes black people,Negative
6, we should celebrate the greatness of barack obama who led our country back to greatness and united a divided country i hope our next president can do that,Positive
-1,  dont forget to mention traitors to the heroes of the civil rights whos only agenda has been to corrupt and fatten their packets with monies out of povertypimps say hello to  obamalegacy luisgutierrez  berniesandersaka bs  ,Negative
2, thank you mr president maga ,Positive
1, like you care,Positive
3, quiet as its kept there is more to african americans and their history than the civil rights era but the tweet does look presidential,Positive
-1, bullshit alert,Negative
0, ha,Neutral
1, americans will come together to celebrate your impeachment,Positive
5, please be safe protect yourself dont let the fbi get you stay safe please trump we love you,Positive
0, learning about african american history as you read intentionally not mentioning the achievement the first africanamerican potus as the biggest hero of this generation doesnt make you less of a racist bigot its just proof another example of our adversity we know our history,Neutral
-1, ummmm black history month has been with us for a long time in february everyone knows that,Negative
2, excellent speech ,Positive
0, oh please,Neutral
2, build it heroes so good to see the house of representatives for passing the taxcutsandjobsact  a big price in the way it should be the biggest tax cuts that they installed to preserve some,Positive
0, not what you said sometime ago,Neutral
0, racistinchief,Neutral
-2, i nicely written tweet by one of your minions because we all know your ass is racist as hell,Negative
1, america is great again,Positive
-2, i love how in a thread where he is acknowledging black people the haters arent anywhere to be found but when he makes a bad post the haters are like you sexist prick kys worst president ever,Negative
2, join us at marchtrump march th  lincoln memorial amfree tickets info magafirstnewscom,Positive
0,       ,Neutral
0, feinstein who has on numerous occasions stated that collusion with the incredible hardworking men  women of our country,Neutral
-1, african americans really  maga morons are governing america,Negative
7,  thank you president trump this gives me hope that one day all will be seen as equal it matters not what one looks like what matters is who they are thank you,Positive
0, faggot,Neutral
-1, does that include the one you insulted with one of these stupid tweets,Negative
-3, blah blah blahempty words,Negative
0,  omg,Neutral
0, ok,Neutral
0, u r confirming bs contribution,Neutral
1,  unless its those athletes taking part in the  take a knee push those guys can  themselves  trump,Positive
2, nice  it doesnt quite seem genuine  what did frederick douglas think about it,Positive
1, this is good pr for you how about you denounce white supremacists now,Positive
-1, sorry choked a little reading this,Negative
-1, forgotten about those murdered children already,Negative
0, i almost forgot were there good people on both sides in that struggle,Neutral
0, you are sofakingdumb,Neutral
0, was frederic douglas there,Neutral
-1, you are lying again you know that you feel nothing for african americans or any other race ,Negative
3, so empty lets honor them by providing positions of authority in your sick administraron and on the judicial branches on all levels thats how you honor,Positive
3, your statement is a slap in the face because everything that they worked hard to build youre making sure you take apart month by month and you like that smh,Positive
-1, your ful of crap,Negative
4, some public schools are getting a bit carried away with this a friend told me of her nephew a caucasian  yr old who at a family celebration announced that anything white people could do black people could do better he was taught that at jefferson elementary little rock ar,Positive
1, trumplies i wont golf like obama ill spend all my time at the wh working no one in my admin ever met with russians i dont think that was my voice on the access hollywood video i dont know flynn manafort papadopoulos or anyone that i fired or left my team,Positive
4, nice but why an entire month  we have other ethnicities who do not get this kind of recognition  lets make it more equitable,Positive
0, stfusignedblack people,Neutral
3, president trump buoyed the white nationalist movement on tuesday as no president has done in generations  equating activists protesting racism with the neonazis and white supremacists who rampaged in charlottesville va over the weekend,Positive
0, when is swish irish polish russian mongolian italian albanian laos burmese vietnam turkish japanese chinese mexican month  i think we need to make more months in the year so every nationality has a history month ,Neutral
0, wanderfull,Neutral
-1, racist,Negative
-3, i wan to get rid off stupid actors bradpitt and angelinajolie out of my thoughts  i hate america for ignoring that sos,Negative
4, only white people helped blacks king didnt do anything but talk to much,Positive
-1, oh my god the flotus what a sour puss face she puts on constantly shes so miserable to look at and then again so are you,Negative
3, like the obamas  greatest president ever,Positive
-2, hypocrite if you really cared you would apologize  for your bigotry and ill treatment  of people of color after all you are an orange poc,Negative
1, beautiful protrumpcbts,Positive
1, be nice if the blacks looked at it the same way,Positive
1, proclamations does not make you a president do something right for once in your bigot life,Positive
-2, you are a freak show everyone is seeing through you and your fake presidency maybe you need to go hide in russia with your idol putin stop lying and tell the truth about what you done to those girlswomen,Negative
1, except those with no moneythey can all puck off   nowback in the white housewhy did you make me act as if i give a puck why oh why,Positive
0,  why did the video freeze mr president tell us please how you really care about the american people,Neutral
0, who wrote that for you,Neutral
3, yep inspired t to adhere to a white supremacist policy the good ole days when folks knew their place,Positive
-1, i guess by celebrate you mean suppress their vote,Negative
0,  maga,Neutral
3, i didnt know cns could sing when will we ever learn samboin for massa is a disgrace not an honor,Positive
0, did your african americans put you up to this,Neutral
1, you will be impeached,Positive
1, great more bs from u  past us government who are the heroes u speak of the blk s who scarified their lives  equality or white s who fucked them with constitution,Positive
0, odio gli africani in maggioranza,Neutral
3, love my president and flotus making america great again,Positive
2, when  could not handle being questioned about his fallacious comments he blocked me and the funny thing is that others just like him wont even reply once to my question about their fallacious comments about you i guess that when all someone can do is  prevericate,Positive
1, now that is a great looking ,Positive
0, everything comes from this spy trump mouth is such a lie,Neutral
8, wonderful president trump and his whole family love blessings to all in jesus christ name amen love blessings to you all in jesus christ name,Positive
-2,  i cant wait for us to come together for your  impeachment party,Negative
0, turkeykillchildrenturkeykillciviliansavecivilhumanwhereishumanrightstopafringenocidesaveafrinstoperdogan,Neutral
1, wonder whats being said behind closed doors,Positive
