"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  0," just change the law on gun",Neutral,
  0," its like polosi inferred  dont need votes because theyve already won in the courts of lib opinion political correctness  outside dueprocess their public crimes they commit merely denied to blind america but   accusations merely be implied become the truth",Neutral,
  5," u know mr trump u spend so much time worrying about what others did or did not do  u spent billions on a budget that helps the rich   u could not even shine president obamas shoes with the class and dignity he has  please look at yourself not always others  and be a president",Positive,
 -1," democrats outright stealing the american taxpayers money unbelievable",Negative,
 -1," what a shame that we cannot rewrite history",Negative,
 -1," all of you stupid liberals they werent owed that much cashwhere is the  billion in state department funds plus where did the  planes really  go",Negative,
  1,"  when will we see justice mrpresident when handcuffs lockherup we the people demand it",Positive,
  1," maybe thats because it was totally public knowledge and theres absolutely nothing suspicious about it",Positive,
  2," just shut up trump",Positive,
 -1," i must say that you are a really hard rock to crack and continue with the classical distraction and substitution habits that are nothing new from a moron your end is nearer than you think",Negative,
  0," of course not a fact but since you dont read and are stupid you will continue to believe this distortion put out by fox",Neutral,
  0," hmmmmmm",Neutral,
  3," why is everything  blamed on obama  he is gone mr trump is president now why cant he own it  stop blaming everyone else and do your job",Positive,
  2," unbelievable and unforgivable  from a congress who is  supposed to represent  the people and have the countrys  best interest at heart",Positive,
  1," it has always bothered mewhen i asked they said most of it was irans already isaid bull i believe there is more misapropiated taxpayers money and money laundering ckraighthamer called it on this said obama should be in jail where is the  billion",Positive,
 -1," the tyranny in iran was on the verge of collapse but obama saved them by signing the nuclear deal and giving them the money to suppress the iranian propose and spread terrorism i hope you will help the iranian people bringing down this tyranny once and for all ",Negative,
 -2," god damn youre a fucking moron",Negative,
 -1," never gotten over the fact that america elected a traitor named donald trump never gotten over how you have stuffed your pockets with nra blood money and watched children and people die never gotten over the fact that you were actually born but well get over you when you die",Negative,
  0," another futile attempt to deflect the attention away from the russia investigation",Neutral,
 -2," it was their money idiot that was frozen then unfrozen us spent nothing read a book for fucks sakes",Negative,
  1,"  good point",Positive,
  1," when will this be prosecuted why is obamas getting away with this that money was used to kill more innocent people he and clintons have blood on their hands wikileaks has a lot of info on this",Positive,
 -1," i havent gotten over the fact that an idiot is in the oval office ourpresidentisamoron",Negative,
 -2," or like instead of pushing your bs rhetoric you could start doing something about the  people who are shot each day in america makeamericasafeagain guncontrolnow nrapuppet",Negative,
  2," join us to marchtrump in  at  am march thplease consider chipping in",Positive,
 -2," i think they need to take a look at your bookswe spent  on golfinggod only knows what else you have donewe dont  billion for a wallbecause we know youafter your overchargeskickbacksfunneling mneywe would have a wallwe know you",Negative,
 -1," fake news",Negative,
  0," sad when the right thing to do is prosecute a former president or presidents",Neutral,
  3," instead of the constant focus on you and your family and your problems why not focus on tweeting about the things you are doing to make life better for your citizens",Positive,
 -1," does this upset you because you did send  to russia and you  are being investigated",Negative,
  0," hahahahahaha",Neutral,
 -1," can you really be this stupid  the dolts that elected you may believe this crap but no one with a bit of sense does",Negative,
  0," it was their money you are an ignorant dotard",Neutral,
  0,"  its called corruption at the highest level",Neutral,
 -1," stop pointing and blaming everyone around you your such a gossiping little girl",Negative,
 -2," hahahaha you are sooo uninformed stupid really",Negative,
  1," the corrupt will protect the corrupt mr president",Positive,
 -2," learn something little loser man stop spreading disinformation",Negative,
  0," old deal made by other administration read intel moron",Neutral,
  1," stop tweeting and do your damn job you great prune",Positive,
  1," thank you for bringing this up  this is a crime how the hell does obama get away with this i hope americans wake up to what obama has done putting cash  weapons in the arms of terrorist groups he should be in gitmo with the rest of them",Positive,
  0," it was their money to begin with   did you forget to mention that again",Neutral,
  0," well maybe thats because it was their money you dumb ass",Neutral,
  0," someone asked me if dems are ignorant or that nieve sheep with there head in the sandall of the aboveuse facts not media talking points",Neutral,
 -1," iran is not the enemy",Negative,
  0," fake news but you know that right",Neutral,
 -1," and you were told about the threat and did nothing except  playing golf that is",Negative,
  1,"  syalom tuhan yesus memberkati presiden amerika donald trump",Positive,
  1," fucking moron  the cash transfer that trump is referring to is the return of   million dollars to iran that the united states gave back around the time  that an american cruiser accidentally drifted into iranian waters and was seized in january ",Positive,
 -1," not to mention what he  his wife spent on vacations",Negative,
 -2," why are you a little bitch handle your own",Negative,
  1," the many lies of donald j trump why dont you ask kelly to draw you a diagram money frozen  assets released im sure you are aware your statement is a lie asshole",Positive,
 -1," if u stop spending ur money on sex   keep them quiet maybe u wld have extra moneyim not shocked or mad tht u paid stormy i am shocked she even slept with you yeah we need obamacare pre existing stupidity",Negative,
  3," returning irans money to iran was part of a deal to keep iran out of nuclear weapons development i say again  it was irans money  and the money came from the congressionally approved judgment fund how can one man be so ignorant of the most basic facts resign impeach",Positive,
  0," fske news",Neutral,
 -2,"  there is no statute of limitation for treason ",Negative,
  0,"  its not too late to start investigating we the people want justice",Neutral,
  0," lol ",Neutral,
  0," you dont understand international affairs",Neutral,
  1," dear  many of iranians inside and abroad are your supporters unfortunately media like     are the voice of iri could you please reformebbc through monitoring  investigating them thanks       ",Positive,
  2," it was irans money we were holding and blackmailing them because our so called friends asking us to do so",Positive,
 -2," bingo now hang his ass for it",Negative,
  0," yeah youve never gotten over a lot  this obsession and perseveration regarding hillary and obama is probably just part of the mental illness",Neutral,
  0," how many times do you have to be told that it was their fucking money moronsaregoverningamerica",Neutral,
  0," ive not gotten over the fact that a reality tv show personality us in the wh so much worse than anything u could sling at obama americasshame",Neutral,
  0," show us your source of proof its called a citation",Neutral,
  0," and you cant even get  billion for the wall unbelievable",Neutral,
 -1," americans work on getting this fat lying con artist seen for what he is asap or the damage he is doing will be soooo bad u wont recover",Negative,
 -3," you havent gotten over a lot of stupid shit fuck off",Negative,
 -2," oh youre just trying to change the subject with your lies but you cant youre a failing are you tired of winning yetthe florida shooter was a trump lover i hope he rots in hell this is what you have caused resign ",Negative,
  2," omg you are so obsessed with obama  please get theropy or just resign you will be better off",Positive,
  1,"  the money belong to iran and was returned to them maybe you should ask where is all the pentagon money that keeps going missing",Positive,
  0," its not too latetermlimits",Neutral,
 -1," i cant get over the numerous illegal actions that went on by people in the obama regime that if they were investigated did not cause any arrests",Negative,
 -1," never gotten over the the fact alot of dumbasses voted ur dumbass into officeu bum",Negative,
  0," tired as an american citizen to have no power over this maga",Neutral,
  4," youve never gotten over the fact that president obama was  times the leader you will ever be quick crying and get to work baby donny ",Positive,
  3," i wonder if they all had their hands on that money especially when swiss accounts were",Positive,
 -1," he screwed us in many ways bit the  was one of the biggest",Negative,
  1," great news",Positive,
  1," in that case youre not fit to be president",Positive,
  0," drain the swamp cleanse fbi and send democrats for psychological and competency evaluationssee how many pass",Neutral,
 -1," youre a racist a real racist you can see it all over in the way your wording  ill pray for you",Negative,
  0," what is it with this whole what about what he did thing you keep doing are you five years old",Neutral,
  0," one trillion to israel  really",Neutral,
  0,"  what amazes me is no one in the intel community seemed concerned with all the lawlessness going on with iran etc instead they seemed to see a bigger threat in the trump campaign why because potus would find and expose them and they feared it",Neutral,
  4," amazing isnt it  obama thought easy come easy go with americans tax money for his iranian friends",Positive,
  1," are you really that stupid or do you just believe were that stupid theres this thing called google you know get your facts straight you look like an idiot how about those russiansanctionsnow liarinchief",Positive,
  0," because it only happened on fox news",Neutral,
 -1," the money belonged to iran in the first place dumbass they were frozen assets see a shrink you are obviously unhinged",Negative,
  0," cant get over the fact that america put such a complete idiot in the white house to tear this country down  and nobody in your cabinet or family called for and investigation",Neutral,
  0," yes that guy got away with everything and everyone knows it hell go down as the worst president ever in american history so much corruption keep up the good work president ",Neutral,
 -1," keep squirming worm",Negative,
  1," it was their money fucktard",Positive,
  2,"  money that the us government owed them stable genius",Positive,
 -2," youve never gotten over obama full stop or hilary or anyone in fact who calls you out for lying every single freaking day",Negative,
 -1," man your tweets this weekend sounds like a scared and desperate man defecting much",Negative,
  3," do you even understand this deal i know reading is a hard skill for you",Positive,
  2," because it was their money you might try paying those you conned out of their money and get over your jealousy of obama",Positive,
 -1," u forget to tell the whole truth  that it was  owed to them  smh you n your lies",Negative,
  1," you talking about president obama try paying your taxes",Positive,
 -1," youve done no deals with saudi eh pot kettle black",Negative,
 -1," jealous of course you would keep it for yourself",Negative,
 -2," youve never gotten over a lot of thingsobama hillary anyone who at any time said anything that wasnt stroking your egomaybe you should see someone about that you know  while mental health cvg still existsi suggest you stop carrying grudgesthey shed terribly",Negative,
  0," deflection is all know treasonous trump",Neutral,
  0," never got over the fact that this country elected a pathological liar to be the th president",Neutral,
 -1," we call bullshit on you",Negative,
 -2," your ignorance of history and government are showing again you dotard",Negative,
  3," i want that money back stop his pension he doesnt deserve a dollar of it my option",Positive,
  7," because it was irans money  the us seized the money and held it for years  with the agreement between the us western europe and iran the money was returned to them   doesnt anyone inform you of these things    maybe you should pay attention during intelligence briefings",Positive,
  0," ryanmcconnellmccain always recuse when the call goes forth to stand up for americafake patriots",Neutral,
  0," they approved it",Neutral,
  0," shut up",Neutral,
  3," god save and protect america",Positive,
  0," ive never gotten over the fact that youre a known pedophile and rapist ",Neutral,
 -1," get sessions off his ass",Negative,
 -1," thats why you are fought tremendously by the deep state because you are questioning their corruption",Negative,
  0," because we actually owe them that money how dense are you",Neutral,
  0," nah youve never gotten over the fact that hes black and smarter than you",Neutral,
  2," your a russian lover trump",Positive,
  2," probably because the money was their money you know when reagan was selling arms to them smh",Positive,
  4," because it was aid you really dont understand how international diplomacy works do you how improving foreign relations makes the world a safer and richer placeyoure like the nd grade idiot in charge of a country",Positive,
  0," ",Neutral,
  0," did yousit downand find outwhat this wasor are you stupidenough to believeits exactly as you said",Neutral,
  0," you are the chief law enforcement officer in the usa what are you waiting for",Neutral,
  1," mr president maybe because they couldnt find a crime in unfreezing their money",Positive,
  0," you must get all your news from fox",Neutral,
  1," we all cant get over itwhere is justice",Positive,
  0," moron  it was their money",Neutral,
 -3," the swamp protects obama and hillary  even their most treasonous actions are not investigated  the swamp is as evil as they are",Negative,
 -1," still mad he has more followers eh",Negative,
  1," never got over the fact that some people actually support a worthless piece of shit by the name of trump is in the white house",Positive,
  0,"  any get over the fact that you still havent imposed sanctions on russia they must have something on you or you are just a traitor",Neutral,
  1," wheres the  justice",Positive,
  4," because it was irans money do you not understand how sanctions work good god are your truly this stupid",Positive,
  1," it was their money that was frozen remember we could not do business with iran until the negotiation and after the negotiation the money was returned as part of the negotiation",Positive,
  1," no kidding where did the cash come from is this why social security is being renamed total bs",Positive,
  1," right",Positive,
  0," get over it dude youre the commander in chief now start acting like it gun control now",Neutral,
 -1," you are so guilty you just keep changing the subject you will be impeached shut up and be respectful of the children that have died you are a soulless man",Negative,
 -1," you literally know nothing about anything do you maybe google it and figure out how this relates to ill waitand you tweetlikers jesus christ man",Negative,
  1," and your numbers are sooooooo off",Positive,
  0," ahh maybe because it never happened fake numbers from a fake president",Neutral,
 -1," i can always tell when youre getting desperate you try to change attention to something you want to blame president obama for or hillary clinton   nothing you ever dig up from them will change the fact that we know you are an illegitimate president  traitor",Negative,
  1," focus boy focus on you on your legacy because right now it is pure crap and getting crappier by the day you are really starting to stink up my country",Positive,
 -1,"  swamp",Negative,
 -3," this fat orange idiot is borderline mentally impaired",Negative,
  1," get your socalled facts straight congress approved of this the money was owed to iran it was theirs to begin with you however sold us out to saudi arabia you are complicit in war crimes with them now",Positive,
 -2,"  dead kids and this is the crap you think about",Negative,
  4," yea thinkin about that doesnt seem like a good use of your time youre the potus now focus on what you can do just an idea huh",Positive,
 -1," because hes not a crook",Negative,
  0," how much has the nra been sending you",Neutral,
  3," we all ask that question it proves they were all in on it and nobody had the guts to stand up call obama out",Positive,
  3," release your taxes like you promised at debate theres a good crime",Positive,
 -1," failure where is your tax information we are still waiting",Negative,
  0,"  wells said",Neutral,
 -2," lies as ever meanwhile back to the collusion ",Negative,
 -1," get over it idiot its called a settlement you should be very familiar with this term you know paying off all the porn starts and playmates and  what not",Negative,
 -1," wow you are one clueless moron why dont you find a grown up to explain these things to you before you embarrass yourself further",Negative,
  2," oh you just confirm everyday that u dont know anythingthat  was withheld for arms sales to the shaw of iran  when he was overthrown we never gave them their arms that was their money which we held onto for  years good or bad not sure but obama was not paying terrorists",Positive,
  4," president trump please tell jeff sessions he is the attorney general",Positive,
  1," the money was irans",Positive,
  0,"  duh donnie you think it was because the us was simply returning money seized from iran in  ask gary cohn and hell explain that to you the real mystery is why you never say a harsh word about russia blackmail perhaps potus maga trumptrain",Neutral,
 -1," old news  cheater  potusliar",Negative,
  0," seriously put your phone down and go eat a dozen big macs i hear they do wonders for your cholesterol",Neutral,
  0,"  that is a key pointthe us came off as a drug kingpin for all the world to see",Neutral,
  2," will never get over the fact that real donald trump was able to add  trillion to the deficit in one of foul budgets swoop moronsaregoverningamerica maga",Positive,
  2," your not on your own  in fact i will never get over obummer full stop dinlo liar and just bad man in a good suit",Positive,
  0,"  wake up  already",Neutral,
  3,"  two things obama is not a criminal and weve never gotten over the fact that you got into the white house or even through security oh thats three things just sayin",Positive,
 -2,"  russia russia russia ignore the noise concentrate on the clintons and all will fall",Negative,
  2," theres a lot of things you never get over first theres you ego i dont think youll ever get over that then theres the fact that an africanamerican was president before you this seams to be equally difficult for you finally theres your record low intelligence level",Positive,
  1," because mr president the doj and fbi is crooked  and senior citizens like me are getting screwed over by obozo care to the tune of   dollars in penalties please help",Positive,
  1," never gotten over the fact that why you became president",Positive,
  1," just play golf duffus",Positive,
  3," i agree what is up with that shady deal and nobody cares just keep hounding on it never let that go americans deserve to know and you are the one we voted for to watch out for us cant you do something",Positive,
  0," never gotten over obama period  or hillary  or all of the others he insults daily on twitter  wish the president would move past these petty insecurities and do something about our children being murdered in their schools",Neutral,
  4," if the fbi was  as good at protecting schools as they are at protecting obama and hillary we would all be better off",Positive,
  1," mujahideem  talibanassad a genocidal lunaticrussian strategic positioning  fueling isis and you guys dont get the complications of islam and the  sects and tribal complexitiesdo your homework republicans",Positive,
  1," are you still talking about that it was their money",Positive,
  1," never been able to get over how you call yourself a good businessman but filed for multiple bankruptcies or how you bragged about forcefully groping a woman and someone else got fired or how you drink water with those tiny limbs plz answer sound out the words lild",Positive,
  0," thats because he isnt a criminal like you and your whole family",Neutral,
  3," it was irans money that we agreed to give back nothing to investigate",Positive,
  0,"  why didnt sessions investigate it   he is a bump on a log",Neutral,
 -1," assassin of america ",Negative,
  2," were not over it either president trump we know it would never have happened if you were in office",Positive,
  1," time to get over it and deal with your own scandalridden presidency  swiping from the sidelines but youre in charge now",Positive,
  0," mueller should be reassigned to this",Neutral,
 -1," how about instead of criticizing a former presidents actions you focus on the problems we currently are facing like i dont know maybe gun control",Negative,
  2," it was irans money to begin with asshat typical of you though to take somebodys money for yourself art of the steal",Positive,
  4,"  omgyou just dont know enough to command  i gave tweets explaining isotope signature  wowjust wow  a whole sector of americans who refuse to learn anything but follows this potus like hes the pide piperwow",Positive,
  1," never got over obama will be written on your tombstone fakepresidentday",Positive,
 -1," this tweet shows how ill inform you are",Negative,
  2," still sweatin obama yes we all know you will never be half the man he isdont you have a hooker to pay off",Positive,
  0," oh you mean they had their money returned to them",Neutral,
  1," first presidents day in american history without a president",Positive,
  2," never gotten over how much money you owe russian oligarchy you wouldnt pass any security clearance for government work",Positive,
 -4," obama needs to be prosecuted for his crimes against our country crooked hillary and the corrupt obama admin too their evil people draintheswamp",Negative,
 -5," material support for islamic terrorism treason sedition violation of sanctions and a war crime",Negative,
 -4,"  every trump tweet is one more smack down of a corrupt media colluding with a corrupt administration and covering it up the whole lot of them should be run out of town on a rail look that up",Negative,
  1," because its not true mr president thats why",Positive,
 -8,"  obama has to go to jail  jail jail jail jail jail jail jail",Negative,
 -1," that wouldve been one of his many deals that could have tarnished his no scandals legacy besides calling out the president  is racist thought you knew only you being whitea republican president can be questioned",Negative,
  0," it  was  their  own  moneythey met conditions for sanctions to be lifted the opposite of imposed which youre failing at so they got it back its part of the deal you also supported since taking officenever met a fact you couldnt shit all over have you",Neutral,
  0," one thing i know for sure about youyou will never be a part of the ex presidents clubyou are too busy badmouthing them you are manic this amdid you snort another line or what",Neutral,
 -1,"  jail for obama now now now now now now now now",Negative,
