Sentiment_Score,Tweets,Sentiment_level.score
-1,  liar,Negative
-1,  u r the catastrophe,Negative
3,   i wish you would put them forward so we could all see the bills proposals honestly the american people should be kept in the loop about these proposals as were the ones picking up the check,Positive
-4,  go see black panther you fat whitey racist piece of shit,Negative
-2,   dangerous criminals its your people that are killing americans,Negative
-1,  you are a total catastrophe,Negative
2,   and who said your will be the best,Positive
0,   stop undoing this ,Neutral
-1,  kill the bill,Negative
0,  there needs to be more surveillance in our country thats the answer is anyone else sick of hearing about all this crazy shit on the news lets catch it before it happensi guarantee you that god is here and hes not happy with whats happening to this beautiful nation,Neutral
0,  temporary solution for illegals until immigration is fixed all illegals living in us illegally should be temporarily relocated to california the headquarters for pro illegal immigration where it is accepted illegals should be restricted from leaving ca until legalized,Neutral
0,  tienen que ser muy estrictamente selectivos,Neutral
0,  you are so full of shit,Neutral
-1,   why dont you act like a man and stop insulting and calling others names  youre a bully and muellers gonna be knocking at your door very very soon,Negative
1,  potus is a total catastrophe  worried about immigration and walls when our innocent children are being executed stop the madness and focus on the real issues your fantasy on immigration should remain just that ugh get real,Positive
0,  so why was chain migration a ok for melanias parents,Neutral
0,  no to all of these ,Neutral
-1,  who can believe the liar in chief,Negative
-1,  veto,Negative
0,   ,Neutral
1,  why dont you just shut the tweet up already,Positive
3,  i agree president trump maga,Positive
0,  stop this endless immigration period,Neutral
3,   thank you mr president for protecting america and its citizens,Positive
3,   oddly enough every potus prior to you was smart enough to do the simple business math and saw to deport all the illegals cost billions so let them stay and pay taxes like everyone else but since you cant do the math you always end up bankrupt,Positive
2,  the question should now be are republicans serious about border securityi hope red states fire these deepstate republicans they are as complicit as the dems why wont congress protect  defend the american people  our constitutionwho do they think they are ,Positive
-2,  foolish boy,Negative
-1,  idiot in chief,Negative
-1,  you are the catastrophe,Negative
0,  speaking to the dems  we know that you want more dems voters,Neutral
1,  well we know what you want  more voters,Positive
2,  are you going to build a wall around the entire country your wall is irrelevant a money waster and just plain stupid,Positive
2,  chain migration yes lets talk about chain migration isnt that how your inlaws were able to sneak into this country you didnt think we would notice did you can you spell hypocrite its right there for you try spelling it,Positive
-1,  veto itkill it like a rabid dog,Negative
1,   build that wall,Positive
-1,  fake news from fake president,Negative
0,  im sick of congress only listening to the screamers this impasse of creating real immigration laws goes against what the american people want listen to your silent majority or get out of washington,Neutral
1,  pardon snowden,Positive
-1,  please listen to the people of this country that you think you rule we are not your loyal subjects we dont want and we dont need no fucking wall,Negative
-1,  thus we americans are glad you are our   and not   you would veto such a bad bill,Negative
0,  no amnesty period deport them all noamnesty nodaca,Neutral
0,  stfu youre the product of chain migration,Neutral
3,  awesome job  were proud of you,Positive
-1,  you are a moron,Negative
2,  by the way  is melania legal did she get her green card through you or through her modeling services,Positive
0,  is that how your immigrant in laws are here to stay,Neutral
3,  if trump asked his supporters to donate each for the wall they would do it on a drop of a hat over  million right there   million that would not be russians making donations that would be his loyal base of supporters notbots can hilary do that,Positive
7,  so she sells her stuff but cant keep the money for a rainy day cuz dfs wants it all spent in  days then she does nd then is told we can help u cuz u dont make enough money  wtf u make to much or not enough now a young girl with  kids in housing nd bf working will get all,Positive
4,  but yet an  yr old woman that worked all her life has to sell everything she owns nd pd off in life has to sell it all to support herself cuz dfs consider that articles of sale for income nd then she still dont get help cuz shes made to much money selling stuff,Positive
4,  if not then we need to revamp how things are done i know so many people that would rather draw welfare thwn to work hell i would to if i got a check wach money nd  in food stamp like all these other people that are working nd living on the syatem,Positive
8,  so dont just look into imigration look into or judicial system nd how currupt it is nd have a team of people that will investigate with integrity nd honesty nd no favortism me i look at what they are their to do nd if its to the book in everyway nd make sure its done right,Positive
-2,  then dfs gives out their little booklet on their pokicy nd we are to read it which is bs cuz they dont follow it like really who are we suppose to contact to report their abuse cuz apparantely if u go over their heads its their bosses nd they get a pat on the back nd that a boy,Negative
5,  but theirs no accountability nd these dfs workers think they are god judge nd jury nd innocent peopke cant stop them from taking their kids cuz they are above the law nd what they saw is law small towns like mine cops dfs are above the law nd do what they want,Positive
1,  that sounds like a big no to me,Positive
3,  nd they give ur kids back they treat u like a criminal nd makes u take parenting class nd drug class like really people  if u call anonymous nd get innocent peoples kids taken away just cuz they pissed u off i feel the caller should be punished just like if u file a false report,Positive
-1,  then they say we cant help u but then they want to send a caseworker out cuz someone was affended by a comment so in retaliation called  number for dfs nd they take the kids away thats bs that being guilty till proven innocent nd when they find out u did nothing wrong,Negative
6,  walk in our shoes for a day try to pay the electric bill or buy groeries nd diapers nd formula nd rent all  with only  a week if ur lucky granted i bust my ass day to day to support my family best i can but the government doesnt help  dfs says u make to much or not enough,Positive
-1,  then only get unemployment but yet congress can hold office nd get voted out nd they would get a hefty pension nd security nd everything else as the did when running in office hell no u lose ur job u lose ur benefits thats what us low class people deal with why cant they,Negative
2,  ive been in high class nd then it was taken all away do to company downsize nd had to scrap nd beg for money cuz i made to much or not enough for welfare to me thats just screwed up lets help the lower class please like really when i lost my job making k a yr,Positive
-3,  i need to research nd find out how to get into politics so maybe a man like me that is  nd disabled tryin to live on disability nd to afford things we need nd cant get but a single mom with a dozen kids get everything they need nd more why the older people are suffering,Negative
-2,  i believe in what u are doin in office nd it makes me want to find out how to get into politics so i could help this state get out of the poverty that its in southeast mo is the poorest state nd the most crookedest state eapexially with our law enforcement nd dept of dfs,Negative
3,  because the dems are too insecure getting votes on merit so they use tactics like bribing with taxpayer funded things like food stamps and freebies,Positive
2,  well then no deal,Positive
0,  buildthewall noamnesty,Neutral
-3,  rather have no immigration laws than no gun lawsthe most dangerous thing killing us all becuz they gave you million dollars,Negative
1,  why arent they embarrassed even presenting that bill to you,Positive
0,  veto that bill mr president,Neutral
0,  only according to you,Neutral
-1,  shut the front door chain migrant and the number one criminal,Negative
1,   schumer needs to go on permanent vacation,Positive
-1,  president trump let daca expire deport all of them daca was unconstitutional to start with obamas mistake supreme court has your back,Negative
0,   stuck to your guns mr president we dont mind sending illegals and dreamers back,Neutral
0,   passhr nodacadeal americansfirst,Neutral
1,   they can not be trusted by the american people,Positive
4,  i agree the wall should have been built a long time ago love you you are doing a fantastic job,Positive
-1,   a wall is a bad idea,Negative
