"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  2," join us at marchtrump march th  lincoln memorial amfree tickets info magafirstnewscom",Positive,
 -2," please stop disrespecting our elected officials in both political parties  it is childish  the name calling is embarrassing  we ask our children not to do this  we expect more from you",Negative,
 -7," you are one sick twisted son if a bitch you are a  lb meat golem rotting from the inside out you deserve everything that is soon heading your way cant wait to see you crash and burn  loathsome ",Negative,
  6," if you paid attention in the pre  postelection briefings of which you were a part you should know this we did youd also know your senate majority leader strongly opposed any action before the election clearly you prefer a delegitimized presidency to no presidency",Positive,
  0," excuse me but fact is president obama leveled sanctions against russia which you refuse to enforce get your facts straight donald",Neutral,
 -2," youre a complete lying piece of shit",Negative,
  2," and youve done what nothing the real blame goes to mcconnell who threatened obama a real president would do everything in their power to protect our country from hostile foreign powers youve had more time support of congress and done nothing",Positive,
  0," fakefuckingpresident",Neutral,
 -1," pathetic  ",Negative,
 -2," your such an asshole anything to try to deflect idiot ",Negative,
 -1,"  what about mexican interference are we going to sanction them",Negative,
 -3," obama did something he imposed sanctions on russia for meddling in our elections you colluded with russia to lift the sanctions and the proof you still wont impose sanctions ever after you signed the bill congress passed proof you are a treasonous traitor colluder wenemy",Negative,
 -5," my family is burying my cousin today because of your inaction and cowardice and this is what you have to say you are an evil pathetic and worthless stain on humanity retweeted from  daniel youkilis",Negative,
  0," kinda like how you did nothing to punish the russians for meddling",Neutral,
 -1," rex was right you are a fucking moron morondon",Negative,
  0," dude youre seriously one tweet away from declaring a horse one of your cabinet members arent you",Neutral,
 -1," what are you doing about it oh thats right the same thing youve been doing for the past year whining and saying its a hoax",Negative,
 -1," you are to blame worst president ever dotarddonnie fakepresident liarinchief muellersgonnagetcha muellertime muellertime treasonoustrump",Negative,
  0," this is funny  after all the crap you came out with before running you dont even know what he did",Neutral,
  2," grow up mr trump put your big boy pants and do the right thing",Positive,
 -3," im curious to know who types his tweets because we all knowliddle donnie is ignorant  illiteratecan someone jail this criminal already",Negative,
  0," so youre saying the russians did meddle in the election and the russians are in fact the reason you were elected presidentso youre going to resign right",Neutral,
  1," trump  you are the president you know of the threat and you do nothing",Positive,
 -1,"  oh please he shut down russian compounds and placed sanctions on russia what did you do nothing",Negative,
  1," what is liddle besides your penis vocabulary and brain",Positive,
 -1," cowardly trump would cheat at curling too russia and putinspuppet are enemiesofdemocracy  trumpcollusion",Negative,
  1," for gods sake man have you no self respect",Positive,
 -1," i cant wait for your perp walk ",Negative,
 -1," how is that cyber bullying campaign going ",Negative,
 -1," more fake news from our fake president",Negative,
 -2," since you have no trouble calling people names i think we should have a vote coming up with an official nickname for you so many choices do you think the russians would meddle in it",Negative,
 -1," big fat trump the liar",Negative,
  1," people just laugh at your tweets no one takes all your lies seriously you might earn some respect if you put russian sanctions in place to protect our elections your wh is in chaosis there anyone there who isnt a liar or a cheat doesnt appear so",Positive,
  1," i take solace in the fact that no matter what you do your time will end and everyone is going to watch you fall",Positive,
  0," you trump are the liar",Neutral,
 -2," resign traitor",Negative,
 -1," you cant touch obama you dont even come close to his class act you are a global embarrassment",Negative,
  0," ",Neutral,
 -2," you are an embarrassment to all of us how dare you throw blame onto anyone else we wont stomach your crackpot presidency any longer and will not stop until you are in prison trumptreason illegitimatepresident",Negative,
 -2," or like instead of pushing your bs rhetoric you could start doing something about the  people who are shot each day in america makeamericasafeagain guncontrolnow nrapuppet",Negative,
  0," there is more to the story but since it is about mcconnell its not surprising that you dont repeat it",Neutral,
 -1," dj you really suck at diversion and you are the definition of liddle youre no leader you lost the popular vote and against every one of your security and intelligence authorities you deny russias criminal interference in our  election muellerisclosingin",Negative,
 -3," what a lying cheating old punk",Negative,
  0," oo oo oo  can we play switch the tense with this one ill go trump is president knows of the threat and does nothing hat trickbonus round future tense which one will voters have a chance to boot out of office which one will be impeached for dereliction of duty",Neutral,
 -5," you are such a condescending ah  you seem paranoid but you should be  the noose is tightening  your chronies  are being indicted  its just a matter of time for you little don  can wait for you to resign in disgrace",Negative,
 -1," douche",Negative,
  1,"  no doubt obamas minions will marginalize schiffty for his disloyalty and rare embrace of the truth",Positive,
 -1," oh shut the fuck up ",Negative,
  3," russian tantrums are strong this weekend its like you dont have a job",Positive,
  2," name calling like a middle school child is so embarrassing to those of us youre expected to lead please stop",Positive,
 -1," you are such a childish dick i wont say you act like a child because they stepped up when shot at not you",Negative,
 -2," look at liddle donnie finally admitting there was a threat from russia which he knew all alongwhile he was crying hoax whatistrumphiding muelleriswatching ",Negative,
  0," show us your taxes moron or shut your putin loving mouth",Neutral,
 -8," happy presidents day  cadetbonespurs  you were a worthless piece of shit before you ran for president youre a worthless piece of shit now and when your miserable orange ass is rotting in your grave youll be a worthless dead piece of shit cant happen soon enough",Negative,
  0," this is nothing but lies stop lying to the world youre disgraceful we deserve the truth and you dont deserve your position",Neutral,
  0,"  obamas response to russian hackers cut it outhahahahahahahahaha",Neutral,
  0," the o administration left the screen door open on the submarine stupid nobody watching the door",Neutral,
  1," omg  youre a child",Positive,
  2," so presidential we will look back at this time with shame grow up become better",Positive,
 -1," lashing out again still angry about not being invited to a certain royal wedding",Negative,
 -2," everything is always someone elses fault propaganda",Negative,
 -1," says the monster of no control himself",Negative,
 -1," liar",Negative,
  0," this is what trump calls unifying america donthecon putinspuppet potus partyofputin memogate russiagate",Neutral,
 -1," youre despicable",Negative,
 -1," youre a pig grow up and act presidential you fool",Negative,
 -2," bro your name calling game is at a st grade level do yourself a favor and at least step it up to a th grade level youre the potus for crying out loud weak af",Negative,
 -4," you are wrong little child should obama have put more sanctions that over a year later you refuse to enforceyou should be in prison for treason",Negative,
 -3," well at least obama imposed sanctions you bitch ass punk",Negative,
 -1," obama tried but  refused to get the message out",Negative,
 -1," you know you lie and uncontrollably at that he put in sanctions or you know russain adoption",Negative,
 -3," if youre guilty and you know it tweet some moreif youre guilty and you know it tweet some moreif youre guilty and you know it and cant help yourself but show itif youre guilty and you know it tweet some more",Negative,
  0," and what are you doing about it other than claiming you had no part in it deflection is not leadership mr p prove you are the greatest potus and actually do something other than cry about your predecessors doesbaby donny need his diaper changed ",Neutral,
  0," excuse me but somebody please change the baby and give him his bottle",Neutral,
 -3,"  comment not blame  growup defensive behavior is weak notinqueens stopdeflecting factsfirst",Negative,
 -2," trump you are a disgrace a bully and an idiot",Negative,
  0," how dare you out of respect for the  students and teachers who were just slaughtered by another legally acquired assault weapon the only thing out of you should be how to stop this notmypresident",Neutral,
  2," this day it not for you go cuddle up to putin and cryyou will be wiped from history",Positive,
 -1," trumprussiacollusion trumprussiacoverup dumptrump resist ",Negative,
  3," adam schiff is a man of his word time you used a dictionary  little  is the correct spelling not liddle ",Positive,
 -1," you doddle trump have absolutely no idea what youre doing you arewere a bad business man and now becoming the worst potus ever",Negative,
  2," were under occupation donald trumpnasa is a fraud our infrastructure is a logistical transportation relicother nations reaching speeds of  mph high speed rails and building their own silk road they cry cuz theyve got no vision left",Positive,
 -4," damn youre trying so hard to blame others",Negative,
  5," all pure politics and below you sir sleep better at night knowing you are there and will be there again in ",Positive,
  5," then why have you not done some about it why have you not implemented the russian sanctions bill as passed by congress if you did your job as a president perhaps you would gain some credibility otherwise  you will continue being hated by america and the world",Positive,
  0," mitch oconnel wouldnt let him release the info because it would have affected the election comet should have came out when he did on hillary about your russian ties",Neutral,
  3," funny how your team met with putins team to promise to lift sanctions  this is the only promise youve kept certainly none of your campaign promises kept",Positive,
  0," gimme  more days ",Neutral,
 -2,"  yes he needs to read my story generations of evil i escaped their demented clutches america escaped democrats clutches lets keep it that way forever ",Negative,
 -7," man stfuuuu who the fuck voted for youre ass dude  why the hell you not impeached yet dudeee  you on twitter worried bout the wrong damn thing get tf off twitter and make some shii happening",Negative,
  0," its a wonder the gop isnt blaming obama for the viet nam war",Neutral,
  1," did you just diss and complement him in one tweet im super confused ",Positive,
  0," notice how you never take any accountability or responsibility for your life everything is always someone elses fault sad",Neutral,
  2," ok dirtbagdonny lyindonny childishdonny skidmarkinchief  no  wcritical reasoning skills  common sense believes a word u tweet",Positive,
 -1," liddle adam schiff does that make you fat donnie dentures donniedentures",Negative,
 -1," you are a sad narcissistic idiot you are a tool of putin you are a threat to our national security your time will come when mueller drops the hammer on you",Negative,
  1," besides the fact that this is one of the dumbest tweets ever why is there an apostrophe after liddle happy obama day",Positive,
 -3," but behind this mask of ultraconfidence lies a fragile selfesteem thats vulnerable to the slightest criticism a narcissistic personality disorder causes problems in many areas of life such as relationships work school or financial affairs",Negative,
  2," holy shit our president is a fiveyearold child",Positive,
 -2," narcissistic personality disorder is a mental disorder in which people have an inflated sense of their own importance a deep need for admiration and a lack of empathy for others",Negative,
  1," happy presidents day to all past presidents",Positive,
  0," can you sound even more immature you are an embarrassment to your office",Neutral,
  2," donald trump is a national embrassment american citizens are the laughing stock of the world bc donald trump is an idiot in the wh",Positive,
  0," liddle",Neutral,
  0," j",Neutral,
  3," frankly trump once we would like to see you out of the pampers",Positive,
  3," just when i think i have reached the limits of disappointment and disgust with your repugnant take all the credit assume none of the responsibility behavioryou manage to exceed those limitsnow i am even more disappointed and more disgusteddoes not  feel like winning",Positive,
 -1," for someone with such a large body you are a very little man youre the president now so why dont you do something to punish russia yknow like implement the sanctions that you are illegally not implementing you know of the threat and are doing nothing",Negative,
  1," children were massacred on  at pm at marjorystonemandouglashighschool and this is what you think needs to be said your not a man you are a cowardwe stand with gunreformnow you and yours will not be reelected",Positive,
 -2," u r so damn pathetic no better than a schoolyard bully calling names unfitforoffice  thamendment",Negative,
  5," can you ever make a point without resorting to childish name calling  will you please grow up and act like an adult  youre the president of the greatest county on earth  act like it  you need to show some respect for the office",Positive,
 -2," mr president blaming others telling lies and dodging the facts will not absolve you of your collusion and failure to punish and impose sanctions on russia you are aiding and abetting the enemy while trying to destroy our noble institution and democracy",Negative,
 -1," self serving noise",Negative,
  0,"  he certainly spied on you and your staff",Neutral,
  4," we must do the right thing and honor our president  salute shitholeresistance",Positive,
 -1," so what is your excuse for doing nothing then",Negative,
 -2," its very scary facing jail isnt it",Negative,
 -3," your immature inappropriate and bullying sobriquets reflect badly on yourself and the office of the president",Negative,
 -2," youre pathetically desperate",Negative,
  1," liddle is that supposed to be a word",Positive,
 -1," fuck you  you cocksucking russian cock holster",Negative,
 -6," i remember bullies from when i was in junior high they always made up nicknames for people they wanted to ridicule  they were cowardly and stupid they grew up to be mean lonely people when will you grow up little people always belittle others",Negative,
