Sentiment_Score,Tweets,Sentiment_level.score
0, ,Neutral
1, wow who told you to do that  you really do care,Positive
2, liberals are blaming president trump for the deaths of the students in florida but fail to take responsibility for their own actions ,Positive
-2, is this what your deplorable payforplay buddies at that cheap motel marahithole told you to do ,Negative
1, bless the souls of all those affected,Positive
-1, i understand that you were conflicted paying homage to the victims of the parkland shootings or golfing only a narcissist would be so conflicted,Negative
-4, how about honoring the dead by gun control fuck your fake ass proclamations,Negative
2, help to my w harlem public school where admin will deem this proclamation as inappropriate literature,Positive
-4, if you cared about any of them you would stop worrying about the nra donations and do something about the guns used to kill them  if a toy company manufactures a toy to millions of kids and ten kids choke and die on a piece we recall that product and stop selling it,Negative
3, why dont you honor them by putting in as much energy into gun reform as you do from hiding from the russian investigation  do you realize it takes more to be able to drive a car that to own an ar,Positive
1, what are you going to do for the handy cap you need to raise them up and give them more help,Positive
-3, how about honoring them by enacting tough gun control laws remember that part of the nd amendment that says well regulated militia what the fuck is wrong with a few gun laws,Negative
1, while a mass murderer gets taken into custody while parents mourn the loss of their children while the community of parkland has to pick up the pieces from their latest tragedy you get to sit comfortably in the white house and offer naught but a single flag flown at half mast,Positive
0, keep our gun rights,Neutral
0, honor the lives they sacrificed so you can make the gun lobby happy million and risingenoughisenough,Neutral
-1, i suppose we should lower our expectations of you as well not gonna happen mr president give us a break from the bs already,Negative
-1, bs,Negative
0, so do something more intelligent then lowering a flag,Neutral
-1, you are the worst,Negative
1, who are you kidding you hypocrite your supporting improving federal gun background checks thats what we had before you revoked previous legislation just give those families of the slain children in florida the  million dollars you accepted from the nra,Positive
-1, a proclamation from a fake president is a fake proclamation,Negative
0,   ,Neutral
-1, they dont want your phony prayers and thoughts nor do they want you honoring them what they want is action  gun control the blood of the victims is on your hands you made it easier for mentally ill people to get guns,Negative
0, america cares florida,Neutral
1, i hear youll say today you support background checks duh im surprised the nra allows you to but i guess you have to say something as so many are calling for your head on a platter you are the worst president ever ,Positive
1, pray for america  ,Positive
-2, you can change it you dumb cunt,Negative
0, lowering the flag does nothing to help gun control will,Neutral
-1,  million dollars from the nra the blood is on your hands,Negative
-1, idiot,Negative
0, guncontrolnow,Neutral
0, honoring  mourning surely or do you want more heaps of dying  dead young people that you can honor more photo opportunities for you more thumbs up folks look at us  arent we the compassionate ones hint  no youre not,Neutral
4, every good man with a gun is a potential bad man under the right circumstances you can not control circumstances for each individual so argumenting that mental healthcare improvement is the solution is a lot of hot air gun control is the only solution,Positive
-1,   muslim want take over world we become slaves,Negative
-1, you are such a loser,Negative
2, thank you mr president,Positive
0,  he is an accessory,Neutral
2, in the united states to drink alcohol they must be  years old to go to clubs  to drive at  but to have a weapon you must only be  years old,Positive
-1, you killed those kids,Negative
-2, ban those machine guns nobody hunts or needs such dangerous weapons,Negative
2, great job,Positive
3, soooostricter gun control or is this like youre thoughts and prayers all talk and no action right pres because every time your asked about it you miraculously ignore it,Positive
0, if you wish to honor those lost in parkland proclaim a ban on automatic and semiautomatic weapons and high capacity magazines and please familiarize yourself with the law re when it is appropriate to lower our national flag your proclomation honors noone and dishonors many,Neutral
0, the nation has already had the flag half mast and upside down  for  over a year now,Neutral
12, were praying for them we are also praying that we return god to our lives and institutions to drive evil out of our society it is our culture and those who live here should respect that and live with it theres public interest in god we trust all will be safe and wealthy,Positive
-1, proclamations do nothing but waste paper ban assault rifles and let our children survive their childhood,Negative
0, now do something denounce the nra support a ban on assault weapons definition to include ar type semiautomatic rifles actually make a difference and save lives,Neutral
4, right now there are children doing homework for school tomorrow they are planning their futuressome of them will be shot dead within weeksis the right to own a semiautomatic weapon really more important than their right to have a future ,Positive
-2, the victims dont need proclamations   fucking do something,Negative
1, by doing what receiving over m from nra,Positive
-1, fuck u,Negative
2, how about you honor them with a law that will actually do something,Positive
0,  we shall overcome hate by love,Neutral
2, can treasonous trump say the word guns  what a wuzzy  the nra and russia biggest contributor to nra in  btw have him by the blls,Positive
1, bless all of them,Positive
2, honor them by banning automatic weapons    this is no honor,Positive
1, honor wont bring them back,Positive
1, gee that really helps someone who just lost a child,Positive
0, impeachtrump  ,Neutral
0, you need to go back to washington before you say something stupid oops u did already they do not want you there go home and do what you do best eat and tweet,Neutral
0, you should be very proud of yourself for literally doing the very least you can doparklandschoolshooting ,Neutral
0, you say that mexico sends criminals but you cant control your people with guns,Neutral
1,   we know how you are inviting all your little right piglets and then just say you are such a golden shower boy big lock your ass up,Positive
1,  hmmm proclamations are just fancy words and dont do anything to change anything remember  actions not just words,Positive
-1, gun control,Negative
-8, big fucking deal you do nothing to help the victims of any disaster in america you encourage and incite violence by white supremacists you model violence and bad behavior you are the worst human on the planet you are amoral unethical corrupt liar and greedy bastard resign,Negative
0, that will prevent the next mass shooting in a school,Neutral
1, name onefrom the top of your head,Positive
1, not signing this executive order would have helped prevent thisyou made it easier for the mentally ill to buy gunsshamefuldisgusting ,Positive
0, how about a presidential proclimation to ensure another shooting never ever happens againwouldnt that be a fantastic way to honor the all of the lives lost in all the mass shootingsthink on that a while,Neutral
0, theworldknows givebackthemoneytothenra trumptrash,Neutral
-2, lowering the flag is not preventing the next mass murder episode,Negative
-1, honoring victims yep thats exactly what they need and are asking for moron,Negative
8, thank you mr president you are appreciated lets have that parade please i am a vet and would be honored to be part of it if you could make it so love the usa and will defend to my last breath with respect and allegianceerin adkins,Positive
-1, honour them by making guns illegal anything else makes you an even bigger failure than you already are,Negative
-1,  hour by hour the shameless paid off gop gives abundant reasons why they should be voted out of office not only do they resist sensible gun laws but they now propose to eliminate heat assistance to needy americans including needy republicans,Negative
1, helping get through some necessary and effective additions to gun control would be a lot more helpful than empty proclamations fool,Positive
2, have you done anything today to keep our kids safe at school  stop talking about the russians and get to work,Positive
-3, what good does a fucking proclamation do you worthless rat bastard,Negative
0, your proclamation means nothing  enacting gun control would mean something  sane americans want and end to all semi and automatic weapons  get that through your thick heads gop and nra  you will be voted out in  and beyond  badgeofshame saynotonradonations,Neutral
4, mr president why can we secure our court houses house and senate building but cant figure out how to protect our children,Positive
