Sentiment_Score,Tweets,Sentiment_level.score
0, yet nothing will get done you people kill me,Neutral
-4,  get these guns and weapons away from these people  and younger need to keep their weapons either locked up n need to have a very strict pass to remove it or a person cant even have a gun i hate guns,Negative
2, trump is being investigated many of us suspect corruption at the top  profits from privatizing schools in the department of education  profit from oil and gas rule suspensions having close relationships with the epa major fema money going to a pair of zinkes guys hometown,Positive
1, happy presidents dayabolish family courtscustodywarspunishedprotectingjamrestoringfreedomrestoringfamiliesinternetradiocnnfoxnancyschaffer,Positive
3, if you build it i will drive ,Positive
0, it starts with you,Neutral
0, hello,Neutral
0, fuck you trump,Neutral
5, note the phrasing i was honored to be joined not it was my honor to join the subconscious leaks out i was honored he wants and expects to be honored,Positive
0, ,Neutral
3, they love to talk but dont like to walk it out for  good keep pressing them,Positive
4, finally the needs of the usa are getting attention china is leapyears ahead of usa in modern developments for its people americans should elect competent leaders to address our problems that are really urgent too much deadwood in congresscongress,Positive
-3, leave infracstructure for states to fund themselves we dont need more debt,Negative
1, maybe you should put the money for your military parade towards infrastructure or better yet towards homeless veterans ,Positive
1,     the time to support this administration is now infrastructurebill,Positive
0,   ,Neutral
1,  trump train ,Positive
1,  get to work,Positive
-1, how about talking about guns i know the nra owns you but stand up and attempt to be a man and do your dam job you weak minded imbecile,Negative
-2, we need gun laws,Negative
0, everything you say and do is self serving you are a joke,Neutral
-2, down with your scam of a plan,Negative
3, how many contracts will go to your cronies potus how much will you profit you are so transparent and are only fooling ignorant americans sadly for the rest of us there are many of them,Positive
4, i hope that the next time these guys get together will be impeachment proceedings good luck carrot top,Positive
1, oops  no money for infrastructure since you gave it all to the rich in your tax reform  idiot,Positive
0, thank you for all the great things you are doing its time for the swamp to stop fighting you and start doing what we the people want,Neutral
1, the only reason the democrats showed up is so nothing would get done,Positive
-1, what about guns  much needed legislation  do dead kids help your ratings  so sad you do t care,Negative
1, im always shocked to hear cabinet members do anything other than kiss the substantial ass of their orangebaboonoverlord,Positive
1, good,Positive
0, talk about gun control,Neutral
6,  please hire sheriff grady judd of bartow florida giving him top security clearance and a room in the whitehouse but give his loser wife nothing but grief because she is filthy white trash god bless you president trump,Positive
0, with what you gave the money to yourself your family and the wealthiest in permanent tax cuts,Neutral
0, wecallbs,Neutral
1, why always a roomful of white people ,Positive
-1, engineers have said the lake charles bridge should be closed to traffic it is too unsafe for use,Negative
0, notollroads,Neutral
-1,  bs,Negative
1, id live to be at that table,Positive
3, build that wall  electric  fence would work,Positive
1, please work on health care,Positive
0, with a parade,Neutral
-1, reveal your taxes and let us know about your business dealings outside of the us and tell about your sexual affairs and then resign,Negative
2, time is up as we are moving no matter what  mother earth will no longer wait  prime creator saids time is up  ,Positive
4, good im glad just hope you didnt just wine about the stupid wall not being consudered infastructure,Positive
-1,  more lies,Negative
-1, hey how about helping the people of puerto rico rebuild their infrastructure you jack ass theyve been neglected like your miserable wife,Negative
1, why not put the money for the wall,Positive
-2, sorry i missed it was there freefoodfeb ,Negative
3, not that the money will get to the military because you guys just use the military as a way to hide your slush funds to pay off all your buddies so once again our infrastructure and our military and our people will suffer because youre a twit,Positive
0, you can have as many meetings as u want but since u dont understand the concept that we dont need more nuclear weapons  our military is the strongest military in the world our infrastructure is just going to keep crumbling because thats where u put all the  in the military,Neutral
5,  trump you have trumped america now like its checkmate to a political chess game  remember though lady liberty is a queen  the people are not pawns freedom will ring w trumpets  you are not the instrument sing all ourchildren stop fedkidnappinfedfundin princezzzuzu,Positive
0, thanks,Neutral
0, mr president thak you for trying but my company houchens food group got tax relieve and has not helped the employees one little bitt,Neutral
2, can we also talk about protecting our children metal detectors armed vets,Positive
7, thank you for making a great effort on this issue mr president we need to majorly open our infrastructure to foreign investment this will boost competition and innovation so our infrastructure will be vastly improved,Positive
1, same daywownot very politically astute are you,Positive
2, i only hire the best people hows that going with david j shulkin and the head of epa who doesnt want people insulting him in coach now they  will in businessfirst class so next a private plane,Positive
-2, wont need much infrastructure if the school shooters arent stopped  it is time to put the money and thought where it is really needed  require mental health background checks for all gun buys and get rid of assault rifles,Negative
1,  its time to sign the russia sanctions that congress sent you  you know the russia govt  interfered with the elections its time to protect the country   ,Positive
2, build a wall and deport them all no daca focus on citizens please focus on family court corruption thank you for signing the buchanon act,Positive
-2, take the damn tax cuts to the one percent you gave and you can do this asshat,Negative
0, who wrote this for you,Neutral
1, infrastructure week didnt do so well,Positive
0, really you dontt talk to any one except fox the fake news,Neutral
3, thank you mr president senate lazy people dostracting the real job intersevting the progress they habe yo resign,Positive
4, liaryou will make an offer rescind the offer and blame someone else for ityou made a con not a real offer intending to make the states pay for infrastructureunfit,Positive
-1,  we already know what your infrastructure plan is a toll booth every  miles in every direction ,Negative
2, lots of talk no action,Positive
0, and how are you going to do that donald getting fat contracts to your building buddies,Neutral
-1, but nogastax im firmly on the trumptrain but please no gas tax,Negative
3, perhaps the nra could use their money to help build some roads instead of buying all the republican votes to keep guns in american hand,Positive
0, blah blah blah  time for a new wig bro  nice bald head   love how the wind shows us real donald hair  balding,Neutral
2, but you are throwing cake at private industries and forcing states to pick up the rest of the bill,Positive
0, show us your taxes drumpf,Neutral
0, and to kiss your ass,Neutral
-3, hey commie the ussr spent most their borrowed funds on military and ignored the infrastructure of the host nation  the military industrial complex parasite,Negative
2, did you steal inauguration money dt  o the web we weave is that how you run your charities  that right they where closed and ny is indicting your dotard son,Positive
-2, kansas and are so weak on crime  border,Negative
0,    fta                     ,Neutral
-1, dont charge a tax on gasoline we use to get to work every day  instead send illegal aliens packing there is billions of american tax payer dollars right there,Negative
-1, no gas tax nytimes washingtonpost cnn msnbc ussenate ushouse  maga politico nogastax foxnews,Negative
1, it will be my honor to watch your impeachment hearings,Positive
0, nice photo op lets get those dump trucks to move that dirt from one pile to the other makes it look like were doing something,Neutral
6,  best president ever will go down in the history books as such and a real american god bless trump and his family,Positive
-1, please remember upstate new york when reviewing infrastructuregov cuomo is a horrible governor and has allowed new york to crumble  we pay near the highest taxes in the country and have nothing to show for it,Negative
3, so you have still vowed to pray and think but do nothing well except collect nra checks did you meet with sarah who tweeted you or are you chicken i already know the answer and nice picture smiling with a thumbs up very appropriate the day after a tragedy ,Positive
-1, if rumors of dnc refusing to financially support campaigns of those who help you  us are true dnc is americas  biggest enemy,Negative
1, nice,Positive
-1, no black,Negative
1, these potholes my god do something,Positive
8, stay strong mr president were praying for you god bless you your wife our st lady your family  and god bless america thank you mr president for all that youre doing,Positive
0, are you bipolar,Neutral
3, i think the wall should be like the one north korea built we have the right to enforce the laws we created in this country its a matter of security we have to know whos coming and going and what people bring in america welcomes all immigrants to come here legally,Positive
-1,   please help me to understand how the laws have changed on narcotics why arent we cracking down on just the people who abuse medication i want to know why i want to know why my  year old child cannot get prescribed pain medicine after braking her arm,Negative
3, amen if we begin to rebuild our infrastructure unemployment should go down to zero im envious of the beautiful high speed graffiti free trains the many other countries have we only have slam trackwhoops i mean amtrack thank you president trump,Positive
0, faggot,Neutral
-1, you look constipated here  you ok bro or are you getting ready to serve more bs,Negative
-1, dont care about infrastructure   gun control,Negative
-1, who writes your big boy tweets,Negative
-1, theres no money for that asshole you spent it all on tax cuts for the rich,Negative
1,  finally some news its been nothing but endless opinions for  days,Positive
-3, you phony bastard we know youre gonna screw it up because youre incompetent,Negative
2, good luck,Positive
3, doubt youll be be able to get them on board mr president the democrats are now no better the nation socialists with their fake news goebbelslarian propagandathe russian witchhunt proves it beyond a shadow of a doubt  good luck,Positive
1, enforce stricter gun laws banning assault rifles  amend the nd amendment  then deal with infrastructure that you dont have money for,Positive
2, we will rebuild once you are out of office and in jail better men and women than you will be cleaning up the mess youve made for years to come,Positive
2, wonderful news so long overdue  thank you mr president,Positive
2, just say something that you will renege on later or maybe call a large demographic of our citizens some demoralizing name,Positive
2, bull  this is just more pork for your cronies  you couldnt make american great if you really tried far too corrupt and full of lies,Positive
-1, thanks for all the hard work making america great again from deep within the swamp,Negative
2, god bless america,Positive
1, i never trust the democrats and if they supported it it is still contributing to the swamp,Positive
-1,  keep adding to that deficit you go old man  ,Negative
1, and everybody rushed out to take a shower right after,Positive
1, whining baby trump quit your whining and get down to business russia is real you are not the real president,Positive
0, i think the idea of your food boxes sucks it would be more cost effective if people couldnt purchase certain items on snap than to have boxes delivered by courier to every household have you ever had to drink dry milk its disgusting im a disabled senior on snap  soc sec,Neutral
1, thats odd i had a meeting with republicans and democrats just today trying to figure out just what the fck is wrong with you  general consensus everything,Positive
1, did you bring your investment banking buddies along for support,Positive
2,  if shumer was there i hope you had a huge supply of kleenex,Positive
-1, while lining your own pockets with as much money as you can youre the liar  thief,Negative
-1, ill bet that was a gay party,Negative
0,  of the total costwhat a joke,Neutral
0, how will it be paid for fool,Neutral
0, please stay away from that gas tax to pay for it republicans will definitely lose the  election guaranteed,Neutral
