Sentiment_Score,Tweets,Sentiment_level.score
-1, nah more like ch bonds co bonds cn bonds but nice use of pretty words to say nothing and fix nothing,Negative
-5,  you say you will do anything to help the families why dont you fucking ban those guns now the shooter wouldnt have hurt that many people with a damn knife we dont want your condolences we want fucking change guncontrolnow,Negative
5, may there be healing and comfort to the families friends and loved ones of those affected  bless them all,Positive
-2,  we need more executions not more gun laws stop feeding these low life jerks for  yrs get rid of them that will send a message,Negative
0, stop already we know you didnt write this one lol ,Neutral
2, spoken like a man who never once went to church but has a lot of speach writers,Positive
-2, other than condolences what are you going to do to keep kids from getting killed when they go to school,Negative
2, i support intervention against the criminally insane or terrorists  however if you support infringing on the nd amendment rights of law abiding  sane americans you and your colleagues will lose my vote,Positive
4, jewelry stores pawn shops banks and armored cars have armed security if they can be armed to protect their cash and merchandise you can damn sure arm my childrens school faculty and staff to protect my children ,Positive
5, there are  public schools in this country  be decisive donald  mobilize  national gaurd troops to secure the schools   element per school  until school faculty and staff can be armed to protect our children,Positive
0, this animal should have been institutionalized under flordias baker act long before this happened,Neutral
-3, the fbi authorities in charge of mississippi and florida need to be fired  along with the sheriff of broward county  they were warned dozens of times about this animal and failed to act,Negative
-1, wow just another bs lie from you hole,Negative
1, i did not hear the word guns,Positive
0,   ,Neutral
-5, actions speak louder than words  everytime you loosen restrictions on gun posession more hatred and evil can come out,Negative
0, ,Neutral
-1, bs,Negative
0, donald you are a loser please go awayno one likes you,Neutral
-1, gunner control and gun control either,Negative
-1, how does it feel to read words that you didnt write and you dont feel,Negative
-2, scumbag retard bitch,Negative
0, military style weapons should be banned and confiscated they have no place in our society their only purpose is to kill a massive  of ppl quickly time to get real,Neutral
-5, hypocrite family please step up and do something  your lack of leadership is appalling  go stick your head back in the sand  shameful lack of leadership ,Negative
-2,  ok it is not possible that those words came from a warped mind who authored that for you,Negative
3, every us school systems should update better security system and protect their students instead of blaming to somebody,Positive
2, you didnt write this its actually sane not rambling and doesnt sound like a six year old wrote it,Positive
-1, those bonds arent saving our children  do something,Negative
-1, you cheat on your wife with porn stars and then talk about family what a sick man,Negative
2,  all this is so sickeningly repetitive  its about time to take serious practical measures to cut off the ready availability of weapons to civilians the constitution protects the right to life far above than the right to purchase guns and not the other way around,Positive
2,  i prayer daily that you will continue to walk with the lord remember that king david the apple of gods  eyes had many enemies,Positive
0,         ,Neutral
0,      ,Neutral
7, i am a canadian and even i want to tell you to go fuck yourself trump these are innocent children just as you said yet you refuse to do anything to help them you can agree that they are innocent but how can innocent children who cant defend themselves suppose to do,Positive
-2, fake asshole he is a stain on america  families will never see their love ones again shameful,Negative
-1, and prostitutes dont forget prostitutes,Negative
-1, omgmy sistr die that day,Negative
-1, you killed those kids,Negative
1, whats the matter does the teleprompter need to be closer or did you not read the statement ahead of time,Positive
2, what will you do if your children or grandchildren were one of the victims,Positive
1, if a government cannot protect its people i donot think this government has the capabilities to build a great nation,Positive
1, i am sure you defend mental health instead of guns narcissistic complex is yours,Positive
-1, trump using typical conservative rhetoric lacks finding concrete solutions for guncontrol,Negative
11, i can honestly say i have never felt hatred toward another human being  and then came you  i apologize to god every day for it and i pray someday i can forgive you  until then i pray for you that you truly feel unconditional love and gods spirit and truth in your heart ,Positive
3, god wins with your help of course ,Positive
-2, all the same bonds that you attack everyday,Negative
1, so those bonds are stronger than you cool,Positive
-1, and nobody is better at breaking bonds than you donald,Negative
-1, tu es un assassin si tu ne bouge ton cul le roucain ,Negative
-6, i was shot  years ago by a very abusive man i didnt get one dime compensation from him i think its very unfair that the government wont treat me fairly after being shot by a  rifle i almost died and dant use my left hand,Negative
0, who wrote that for you i know damn well you didnt write it,Neutral
-1,  please stfu you soulless ghoul,Negative
-2, fuck off you little pecker,Negative
-2, you are a soulless coward,Negative
-2, these bonds go weaker and weaker every time you open your shithole mouth and your rd grade reading ability from a teleprompter and trying so hard sound sympathetic is far far far away from presidential in fact quite embarrassing to us americans,Negative
-2, just ban the damn assault weapons,Negative
-2, the only way to get righties to acknowledge white male shooters is tell them its the fbis fault remember when they believed all law enforcement above reproach too hypocrisy whatevertrumpsaysisyourtruth,Negative
