"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
 -2," you are a sick man  sad",Negative,
 -2," what in the hell are you smiling about  dead dead",Negative,
  0," ",Neutral,
 -6," there is something seriously wrong with this person thumbs up after visiting a bunch of shot up kids sick fuck",Negative,
  0,"  so do something",Neutral,
 -2," do them a favor require a gun owning license mental health exam from time to time minimum age of  to own non dealer sales must all be approved firstall ownership documented or its an unlawful possession charge if caught owners criminally responsible if improper access",Negative,
  5,"  i continue to pray that honest responsible politicians will prevent these from happening guncontolnow",Positive,
  2," would thoughts and prayers be enough if it was your son or daughter absolutely notso why should it be for us",Positive,
 -1," liar",Negative,
  0," praying will get you nowhere change your gun laws",Neutral,
  0," if you dont want to lift schools from gunfree zones then train the adults and make them deputies of the sheriffs office",Neutral,
 -2," lift schools from gunfree zones train adults conceal carry  problem solved",Negative,
 -1," remember when he screamed at obama for using children for politics  he is such a hypocrite",Negative,
  1,"  youre a good man and potus obummer would have never did this",Positive,
 -4,"  everyone is attacking you but these children had the opportunity to voice concerns to law enforcement yet the want to protest gun control     ",Negative,
  3," i cant believe this is a photo op for you its an insult for the families for you to be smiling as well is as though you enjoy what they just went through",Positive,
  3," how about we get rid of the secret service and protect the president with our prayers please do more than offer thoughts and prayers please stop sucking up the the ",Positive,
 -2," seriously what is wrong with you",Negative,
  2," we need to help those needing help be friends with your kids get into their lives wether they have problems or are happy life is short and it gets shorter when no one cares",Positive,
  1," did you visit with the families of the kids and teachers who were killed or did you just want to meet the winners who lived you are a sad excuse for our president ",Positive,
 -2," why the fuck are you smiling you fucking piece of shit",Negative,
 -1," your a sick human to use this as a photo opu looked all happy ur sick in the head",Negative,
 -1," mr president please prove the naysayers about you wrong please push congress to ban the sale of assault rifles",Negative,
  2," do something besides pray get off your golf course and get gun reform done also its a hospital not a formal and  definitely not a photo opportunity ",Positive,
  0," the entire  with heavy heart worries about their nra money and cares nothing for our children  we call bs  emmagonzalezforpresident",Neutral,
 -4," you genuinely have the smallest thumb ive ever seen on an adult your freaky little child hands are almost as creepy as that grin on your smug face how do you look in the mirror without seeing what you are you disgust millions of people you lying dumb sociopath",Negative,
  0," praying is easywhat you doing to prevent that act ever happening again where are your control measures",Neutral,
 -2,"  and  minutes later after this photo shop con don was living it up at some night club the utter lack of shame is gobsmacking",Negative,
  1," why are you smiling in this pic omfg do you even know where you are or why what is wrong with you",Positive,
 -1," dick",Negative,
 -2," talked without saying anything encouraging to young people who are desperate to change gun laws to keep weapons out of the hands of mentally disturbed persons the bill that you over turned  youre a narcissistic idiot",Negative,
  0,"  furiosa emma gonzalez",Neutral,
  3," thank them by reversing the bill you just signed which allowed mentally ill more access to guns thank them by protecting children in the future",Positive,
 -2,"  we need more executions not more gun laws stop feeding these low life jerks for  yrs get rid of them that will send a message",Negative,
 -3," and what will you be doing to ensure this massacre never happens again are you going to sit by and watch it happen over and over all in the name of capitalism youre cold and heartless and a monster",Negative,
 -3," your staged photo op does not absolve you from blame for signing a bill that made it easier for mentally disturbed people from obtaining assault rifles you have blood on your hands",Negative,
  8," dont count on someone else to protect you protect your self and your kids there is no reason why housewives out of work men and women  should not protect and guard the schools as a volunteer thing",Positive,
  0," our nation prays and our leader gives a thumbs up",Neutral,
 -2,"  and dont forget to bring up the fbi again you moron",Negative,
  1," where is your courage in putting a stop this ever happening again nowhere",Positive,
  3," these photos look so happy smiling faces and the thumbs up was this a celebratory visit or a visit of comfort following an unthinkable tragedy",Positive,
 -1,"  hey fuck wit how about you give some of that  million to research gun control and safety programs",Negative,
 -1,"  ok done with your fake empathy thumbs up routine youre not at a political rally finally  you are blaming and shaming everyone but russia with the latest news not a hoax now right  but what blackmail does russia have on you you dont call them out",Negative,
  0,"  wow  a fucking photo op",Neutral,
  0," guncontrol",Neutral,
  0," its sad that children are killing children throughout this country age of maturity is  so i say no gun sale under the age of  unless they have  years in military  not saying under  cannot own guns but let it be a gift from maturity dad or grandpa etc",Neutral,
  0,"   ",Neutral,
 -2," what are you so happy  thumbs up about  this is a tragedy  you are the one who put guns into the hands of mentality disturbed people  removed tracking of these people",Negative,
 -1," you are so fake",Negative,
  0," somehow i missed this  happy presidents day mr  ",Neutral,
 -1," these photos are disgusting people were slaughtered and youre jerking yourself off in what to you is just another photo op",Negative,
  0," good grief how can they all stand there with those huge grins on their faces how can that family have him in the room",Neutral,
  0," prayers dont stop bullets floridaschoolshooting do something tinyhands",Neutral,
  0,"  mr president while you was watching opral on  minutes love ones in florida were making burial arrangements for their children that were massacre while attending school in a country where you are the lender",Neutral,
 -1," seventeen people died everybody smilesick",Negative,
 -2," why dont you take pictures of the dead kids and their destroyed families sociopath",Negative,
  3," wone heavy heart since when do you use these kind of words tell urf writer you are coming off like fakenews",Positive,
