"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  2," your right so looking forward to the coming indictments",Positive,
  0,"  this x",Neutral,
 -1," there is no allegation in the indictment that the moon is not made of green cheese  therefore the moon is made of green cheese orangeheaded baboon logic",Negative,
  0," ",Neutral,
  0," yet",Neutral,
 -5," in this indictment  wait for the next ones to come down donnie boy  youre going to be crying a different story pal",Negative,
  0," your goose is cooked usefulidiot",Neutral,
 -1," that doesnt mean it didnt happen",Negative,
 -1," the fuck tards at fbi lol ",Negative,
 -1," probably the fbis way of pointing the finger so nobody looks at the real crime hillary and the dnc committed is far worse by ten times than anyone on facebook was doing lol cnn brainwashing viewers  wtc  lol war on terror hehe  justice is served  because fbi wont do it ",Negative,
  0,"  im sorry but didnt obama have an opinion in the british elections recently we have illegals voting which does affect the outcome of elections whos meddling",Neutral,
  1," pres trump you are undignified and uncouth our national embarrassment i shudder at the impression youre making on our american youth god help us ",Positive,
  2,"  yea sure we know trump is the problemliberalismisamentaldisorder ",Positive,
  1," just keep telling yourself that",Positive,
  1," what does trump and his peanut gallery think do trump actually think mueller is making deals with flynn and gates because they told him trump stole a piece of gum or has been driving without drivers license in all actuality trumps biggest threat is melania",Positive,
 -4," you dummy  yes there were concerns you may have colluded with them which into a crime by the way but they were most concerned about subversive efforts  which you have helped unknowingly wake up",Negative,
  8," president trump do you understand the fact that russians are meddling in our elections what are you going to do to protect our democracy what good will you do how will you protect america for the next election",Positive,
  4," i believe the clintons were active participants in the russian meddling but nothing will be done of it and i also believe obama had knowledge of a lot of what was going on yet again nothing will come of it either",Positive,
  1," you just dont get it donny its not about youprotectourvote ",Positive,
  1," dont count chickens before the eggs are hatched",Positive,
  3," pretty sure mueller will get to you",Positive,
 -2," mr president stop working the same tired tirade and prevent our enemies from dividing us ever again  you swore on the bible to do so",Negative,
  0," i believe he is saying not yet",Neutral,
 -4," democrats lose the election but dont blame their own voters but instead blame another country how pathetic",Negative,
 -1," why not the liberal outrage when obama interfered in israel",Negative,
  0," what about your son ",Neutral,
 -1," the more he tweets the more im convinced hes guiltywell i was already convinced but his nervous twittertwat is concious eating at him ",Negative,
  2," we know who the real colluders are mr president maga   ",Positive,
  0," just wait",Neutral,
  0," he couldnt possibly know that",Neutral,
  1," we can blame obama for the low usa gold medal standing in the pyeongchang winter olympics",Positive,
  1," no just people you know from russia lol",Positive,
  0,"  rosenstein did not say investigation is over mueller wont question  who colluded w russians to get dirt on hillary he was told was coming from russia govthard to believe he didnt tell  about it before meeting attended by kushner  manafort",Neutral,
  0," you sir are a traitor to the american people not just the very rich and uneducated backward white trash",Neutral,
  1," so there saving the best for last bye resignnow",Positive,
  1," im muellering over the fact that minus  will be flynnished soon",Positive,
 -1,"  this message was brought to you by russian bots and the russian government approved this add impeachtrumpnow",Negative,
  0," only because you lost the popular vote",Neutral,
  0," not in this indictment this will not be the last one gets popcorn",Neutral,
 -1,"  and yet it goes on crazy",Negative,
 -6," yeah there is no allegation in this indictment but do you really think the indictments are over you moron do you yours is coming you traitor children are murdered the us is under cyberattack and you do nothing you are a piece of shit loser trumpworstuspresever",Negative,
 -2," the words were in this indictment more are coming",Negative,
 -1,"  sorry sir  i dont believe a single thing rod rosenstein says  hes dirty mueller is dirtycheck out his involvement in uranium one  we need a complete draining of the leadership in the doj  fbi  americans dont trust them  not since they exonerated hillary",Negative,
 -1," because those allegations are coming in the next indictments  these were all your russian buds",Negative,
 -2," three person of trumps campaign have pleaded guilty trumps son in law also a member of his campaign and his son met and colluded with russians however trumps go to line remains no collusion",Negative,
 -1," you really suck at this propaganda thing see we know you were never in it for the long haul you knew you werent suppose to win thats why u lined up trump shit tv but what you didnt expect was that russia had real influence on our election err fixed election if you had lost",Negative,
  0," what a coincidence ",Neutral,
  0," no not yet",Neutral,
  0," you just said it  in that indictment  there will be more  the fact that you believe this exonerates you just shows how ignorant and incompetent you are",Neutral,
 -1," in this indictment",Negative,
 -1," the word you changed is  the he said this indictment moron morefakereportingbypotus",Negative,
  0," so far",Neutral,
  0," they started on  and recruited you and your cesspool rats on  ",Neutral,
  0,"    ",Neutral,
  0," its coming",Neutral,
  5," dj today in our lesson we will discuss qualifiers example dj trump is the greatest president that owned a golf course ",Positive,
  0,"   ",Neutral,
  1," why didnt mueller make this info public himself",Positive,
  2," they are coming after you personally for money laundering buddy",Positive,
 -1," please shut the fuck up",Negative,
  0," first off its worthwhile to point out that most citizens dont consider you an american considering you seem to be working against the country second just because an illegal act didt have its intended consequence doesnt make it any less illegal",Neutral,
  0," not yet",Neutral,
 -1," youre the most hated boy in the world yet to yourself you think youre king",Negative,
 -1," in my opinion your high number misleading statements are of no service to the american people",Negative,
 -1," i know youre mentally challenged but shouldnt you focus on your fake presidency this is one piece of the indictment puzzle more to come get back to golfing dotard ",Negative,
 -1," dont worry widdle donnie mueller hasnt forgotten about you  hes saving the best part for last and you fn know it too",Negative,
  2," drop it the more you say the more it shows how much you are bothered by it guilty or not stop talking mr president remember the americans dont care right now you can be a real hero assault rifles are ment for the military make it so be my hero",Positive,
  0,"  and ps im american",Neutral,
  3," you prove it every time you attack america and praise russia this proves quid pro quo with you and russia",Positive,
 -6,"  fire rosenstein  he is deep state  in with mueller empty that filthy  swamp around you no daca citizenship your voting base wants all illegals deportedfakepolls are lying to you mr president stop making deals with the devil dimms  rinos  deep statewallnow",Negative,
  0," unhinged",Neutral,
  0," obstructionofjustice liarinchief babyhands",Neutral,
 -1," fire wray he did not do his damn job drain the swamp crud mr president",Negative,
  0,"  yet you forgot to say yet",Neutral,
  0," marchforourlives  marchforusa",Neutral,
  0,"  real americans knew this all along the tax payer money wasted on this year long uncalled for investigation is abusive now a real criminal investigation must ensue americans demand the memofalse dossier be the main focus",Neutral,
 -3," this indictment cant wait for the next one donnie boy",Negative,
 -1," he said this indictment more to come",Negative,
  0," ha ha ha",Neutral,
 -1," the dns wasnt hacked  seth rich downloaded incriminating evidence against the dnc wasserman shultz at the request of the obama regime and killary used ms gang members to do their dirty work and had seth rich murdereddw and imran awan stole sanders supporters donations",Negative,
  1," the fbi needs a new management",Positive,
 -3," youre scared admit it you know youre a lying cheater  and we know it too",Negative,
  0," yeah",Neutral,
 -1,"  always the village idiot",Negative,
  0," dude prepare your resignation",Neutral,
 -2," in this indictment this indictment bozo many many more indictments to come",Negative,
 -2," louder me thinks he protest too much",Negative,
 -1," the lady doth protest too much methinks",Negative,
 -3," this is what i hear from you is blah blah blah",Negative,
  1,"  i wonder why rr repeated in the indictment  makes you wonder",Positive,
  0," mr presidentit was all a sham the russians have been meddling in our politics for over a hundred yearsit would be rediculous to think otherwisetrying to blame you specifically is the way of the leftit will come back to them thank you ",Neutral,
  1," keep telling yourself this it wont help you",Positive,
 -1," this indictment be patient idiot",Negative,
  1," everything isnt about you but you will get your turn",Positive,
 -1," you dumb ass he was talking about the indictment for the russians they havent finished with you and your friends there is no honor among thieves they will turn on you to save their own ass cant wait",Negative,
 -2," your cronies all around you are guilty the noose is getting tighter",Negative,
 -1,"  no allegation made does not mean that it was tried to be determined",Negative,
  0," investigation is not over you orange shit gibbon mueller will get you to for collusion and obstruction of justice enjoy your cell at gitmo",Neutral,
  0,"  of course not so why is he still investigating are the republicans that stupid to let this continue",Neutral,
  3," that is as of right now setting you up just like the russians did",Positive,
 -4," the investigation is not over you are only responding to what may involve you btw conspiracy is the crime involved and that is punishable under the law and is a violation of the constitution when are you going to come out and sanction russia  speak against your friend putin",Negative,
 -2," scared shitless arent you  we all know donald cant lie your way out of this one ",Negative,
  0," the indictment does not clear you the tooth fairy or the easter bunny  maybe the next round of indictments",Neutral,
 -1," but mr president your tweets on this russia election meddling issue looks more hysterical on your part why not allow the investigation to run its course without all these interfering tweets of yours",Negative,
  0," just shows how stupid you are hes not exonerating you you dumbass",Neutral,
 -1," my but were a tad insecure",Negative,
  3,"  these anti potus people cant handle the truth they have their minds made up  nothing will change it if it doesnt fit their agenda this is the obama legacy",Positive,
  1," it will be in the next indictmentthe one with your name on it",Positive,
  2," im glad that u will be removed from our house",Positive,
 -1,"  except obama clinton and underlings",Negative,
  0," dumptrump",Neutral,
  1," it should have you dont belong in that job you will be next to be exposed in your dds",Positive,
 -3," no allegation in this indictment  this one  waiting to see what happens with the next one  you acting like you are scared to death  what did you do",Negative,
  2," you are dreaming again  they got your number everyone laughing at you  you are the clown  what have the russians got on you",Positive,
 -1,"  surely a joke what planet does he think he is on maga is awake with intelligent patriots  he presents this fact less garbage to us rosenstein must go",Negative,
  2," don give it a rest you are not convincing anyone its actually making you look more guilty",Positive,
  0," thats rosensteins polite way of saying youre all stupid",Neutral,
 -1," so what are you doing about this russian attack on the usa",Negative,
  4," trump is guilty of sexual misconduct constant lies and the russians helped him win the election  he should not be president when will our congress make this right",Positive,
 -1," in this indictment be patient hes coming for you and we you know it cant wait",Negative,
  1," but you know better",Positive,
  0," is that what you told him to say i bet it was",Neutral,
  0," more to come",Neutral,
  0,"  now get a replacement for sessions and go after them",Neutral,
 -3," why dont you stop being a selfish prick and start caring about america  if you didnt do anything wrong why do you worry about the russian thing do whats right for america and help change the way elections are handled and impose what  of america wants sanctions  daca",Negative,
  4," dont you people have anything else to do with ur timeyou all need to respect the office of the president if you dont like it herebuy you a one way ticket to korea thank you mr president",Positive,
