"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  1,"  hahaha  you wish",Positive,
  1,"  hahahaha trump is bought and paid for by russia fox news a russian owned bot station",Positive,
 -1,"  dude if it was in  it must be true does  belong to murdoch cause we know he isnt biased before tweeting consider the source",Negative,
  0,"  robert mueller has a firm grip on your corruption and will soon put an end to your presidency muellertime",Neutral,
  3,"  from october  i knew for sure that i was voting for president trump and from november  i knew i was voting again",Positive,
  1,"  she won by  million votes duh",Positive,
  0,"   ",Neutral,
 -1,"  mueller isnt done yet i think youre running scared ",Negative,
  0,"  moron  america did not elect you",Neutral,
  0,"  what are you on man  seriously what kind of drugs are you taking or snorting or smoking cant wait for manafort to flip on you  hes going to you know that right",Neutral,
  3,"  deal don   no no no hahahaits don the con",Positive,
  3,"  mr president this deflecting behavior needs to stop  keep our enemies from dividing as they have done  live up to your sworn oath",Positive,
  0,"   she was selfish thinking she deserves to be just because shes a woman",Neutral,
  1,"  full stop periodlollockherup lockobamaup",Positive,
  1,"  why oh why dirty don do you have so much free time to tweet this garbage  teenagers work harder than you and have less free time time to play on social media",Positive,
  0,"  the   lol",Neutral,
  1,"  you lost the popular vote by  million votes  million to hillary clinton and the rest to other candidates",Positive,
 -1,"  impeachment is coming",Negative,
  0,"  what is amazing is that you say you actually read something which i doubt",Neutral,
  0,"  trump for prison",Neutral,
  1,"  the indictment said russia spent millions of dollars a month to defeat her and yet the majority of americans still chose her over you is the old fashion way to lose through electoral votes you couldnt even win the popular vote vs her with russias help now who is pathetic",Positive,
  1,"  you wish resignnow",Positive,
  4,"  happy president s day president trump ",Positive,
 -1,"  you are up  creek without a paddle you fucking asshole",Negative,
  1,"  of course the news is only real and worthy of sharing when it praises you and condemns any of your opponents",Positive,
 -1,"  sorry  your are a ",Negative,
  2,"  you are the only one who keeps relitigating your win  seems like you cant believe it either",Positive,
  1,"  the people voted for  you stole the election with your comrade putins help",Positive,
  1,"  if you were literate and could read i would believe you but unfortunately you are just an illiterate degenerate living in his own narcissistic world god save america from you",Positive,
  0,"   hold on there buddy i havent heard anything about case closed",Neutral,
  0,"   when mueller releases that statement ill believe it",Neutral,
  1,"  well said",Positive,
 -2,"  youre an embarrassment to the usa and the human race youre guilt ooozes out of every text youre going down like a piano out a window",Negative,
  0,"  we really dont have any way of know ing that",Neutral,
 -2,"  thats exactly right i did not give my vote to scandalous murderous crooked hillary and why would anyone want to continuously put in members from the same families  bush and clinton had it been between hillary and jeb i would have voted for johnson",Negative,
  0,"  a  the post  b  you havent a clue as to what succinctly means",Neutral,
 -1,"  ny post hahacase isnt closed little hands",Negative,
 -3,"  you scared bro  you seem a little nervous",Negative,
  0,"  maga ",Neutral,
 -1,"  you know your posting was fakedthats why you harp so much about hillarybecause without russian help your ass would have lost",Negative,
  0,"  well then you were a worse candidate she beat you by  million votes  million dummy",Neutral,
  0,"  not yet  could still happen",Neutral,
  0,"   the investigation is a waste of tax payer money we are  trillion in debt  thanks obummer we all know that russia medals in our elections just as we do with other nations its something all nations do to some degree the point is what they did not impact the election",Neutral,
 -4,"  this election was stolen there was absolutely impact on the election results daily reminder you are a fkn loser and we are coming for you there is not a damn thing your repulsive little magats traitors can do about it either facts russianpotus resignnow jailbait",Negative,
  0,"  unhinged",Neutral,
  0,"  keep telling yourself that donnie  what are you going to say when the fbi slaps the cuffs on you",Neutral,
  0,"  marchforourlives ",Neutral,
 -1,"  the ny post their headline last week was cat believed to be psychic you should have quoted town  country you moron",Negative,
 -1,"  this isnt about hillary clintonor your win this is about foreign interference in our elections",Negative,
 -4,"   hillary took voters for granted spent over a billion plus dollars and fail to go to key states dnc thought that her failed policies would be forgotten stole the nomination from bernie and paid the price democratic party is dead now known as the communist party",Negative,
  0,"  jury is still out on this one",Neutral,
 -1,"  fakepresident thinks the case is closed really mueller is coming and you know it ",Negative,
 -1,"  uh uh case not closed much more to come",Negative,
 -3,"  didnt you say that you never said there wasnt collusion but it was committed by crooked h and the dnc only but now you are tweeting about there being no collusion which is it no collusion or collusion by the other side only constant in this is you",Negative,
  4,"  in your dreams little donny   only in your dreams you are a fake president  couldnt win the pooular vote even with russian help",Positive,
 -2,"  hahahahaha  you are delusional  and prison  its waaaaay too good for you  i cant wait",Negative,
  1,"  crooked hilary used george sorosowner of voting machines to cheat trump  actually won both the electoral college popular vote in a landslidemaga",Positive,
 -1,"  so you could only beat a terrible candidate huh  and oops that terrible candidate got  more votes than you what an idiot",Negative,
  0,"  up your meds",Neutral,
  0,"  then quit tweeting about it and do your job",Neutral,
  2,"  you are the only candidate the russians wanted to help why donald  why would they want to do that",Positive,
 -1,"  oh if michael goodwin says it ok then lets just close the mueller probe before some innocent goes to jail resign",Negative,
