"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
 -1," and about the shooting",Negative,
 -3," dear presidentloser facebook has as much to worry about as you do since they abetted the russian interference they have less ass to cover than you do but thats what theyre doing",Negative,
  0," ",Neutral,
  1," liar donald trump all you do is pass the buck everything points that they wanted to sustain the republicans irregardless of whether one had part they supported and well for the republicans which in two years it had to have an impact but you a liar",Positive,
 -1," once again thats only facebook douche bag",Negative,
  0," youre such a child  do u need to go potty oh wait you are wearing depends go ahead poop away",Neutral,
 -2," they fuck up now and again  but fbi is there to help them cover their lies      wheres agent brown these days  sitting in his thumb  lol smelling bicycle seats for a living  ",Negative,
  3," and just why would the russians want trump to be pres when they could get everything they wanted from clinton and already had a damn good start on  what a joke this whole  russians arrested and lucky for the fbi they are all in russia  no extradition",Positive,
  7," well hes the vp of fb ads whats he going to do be honest admit facts and take responsibility for his action of being a traitor to our country just to make more money for fb that calls for guts and true love of country",Positive,
  1," fake news should never b in the us  god help us rid it",Positive,
  5," dont say i didnt warn you about facebook mr president i warned everybody about facebook and their team they should not be trusted with any information and they should not be supported in any shape or form  sincerely dawi and happy presidents day",Positive,
  3," don don dont you have a job",Positive,
  0," fuuuuuuuuuuuuck back at fake news again vice president of facebook is trying to save facebook just as youre trying to save yourself resignnow its over",Neutral,
  0," you  those gullible enough to work for you are all guilty youre a coward letting others do your dirty work even your own kids sad traitors mueller will take care of what needed to be done many years ago as you bullied went bankrupt didnt pay taxes and laundered ",Neutral,
 -2,"  exactly i am so sick of the liberal socialist media",Negative,
  0," lets wake up now we have been sleeping way too long",Neutral,
  1," these kids are the product of taking god out of school what did we expect they are the product of no value of life if anyone is to blame it is hollywood video games music schools and colleges pushing their evil agenda on our youth put blame where it really belongs",Positive,
 -1," its fakenews when you disagree wthe news story trumptard",Negative,
  4," i thank god i voted for you who in my humble opinion is the best president america has ever had what do i base that on you actually do what you say you are going to do despite all the pushbacks and obstructions happy presidents day",Positive,
  7," happy presidents day we pray you have a safe and great day let us all remember to vote this fall and be wise we love that our country is run by god and trump and pence pray for our nation our leaders our people our families our churches the poor and the homeless amen",Positive,
 -1,"  the democratsleftists make it a hobby of theirs to ignore facts they are so lost that i dont think they can be pulled out of the darkness",Negative,
  0," give it up",Neutral,
  1," watching you come apart like this has been my favorite thing to happen on reality tv since bobby brown got drunk and tied his shoe to his ankle presidentsday",Positive,
 -1," why is it legal for the news and other shows along with internet sites lying trying to sway an election",Negative,
  2," as i read these tweets it is unbelievable that so many of you smear facts news and our fbi you say you love our democracy so act like it",Positive,
 -1," thats good news i dont see trumps outrage at any of russias malfeasance",Negative,
  1," trump lives in a fantasy world it seems he attacks anyone who disagrees with him why cant he take a stand with russia it seems like he is desperately hiding something i am confident that our great fbi will find all the shady ducks in a murky pond",Positive,
  0," obstructionofjustice liarinchief babyhands",Neutral,
 -5," the fake president never fails to rant and pound his fist on his desk tweeting like a little kid that someone took his golf game away fromyou didnt play golf out of compassion for the parkland kidsyou did it for pryou are a deplorable being",Negative,
 -1," youre failing putinspuppet",Negative,
  0," marchforourlives ",Neutral,
-10," blah blah blah the media blah blah blah fake news blah blah blah",Negative,
