Sentiment_Score,Tweets,Sentiment_level.score
-2, so you mean  working on cutting funding for mental health tweeting about useless things covering up your affairs giving your wealthy buddies tax cuts and government jobs,Negative
1, remember you just said you carry everywhere you go criminals carry guns,Positive
1, some of the bravest people on earth who happen to be kids not soldiers  you can use your position and influence to do right by these kids but either way their neveragain movement will force the change,Positive
0,  wet saw how that went  ,Neutral
1,  you should take the nra money you accepted and donate it to the families of the victims,Positive
2, we need to protect our children  schools should be safe  everywhere in the country  all students are cared for by america the beautiful,Positive
2, those kids and the families dont want you or your false compassion  they need better gun control laws and have a govt that actually works for the people i doubt every word trump and pence say  impeachnow,Positive
0, youre doing great i work in the addiction treatment field and was at psych hospital on long island thats where the problems are they have no idea what theyre doing thats why everyone suffers but keep going sir youre helping and not hurting,Neutral
1, couldnt you just end that sentence at i will be leaving,Positive
1, id be willing to bet everyone in the school picked on the shooter mercilesslythe whole school probably picked on him,Positive
-2, i doubt it cause you are an idiot,Negative
1, so heartbroken for these families i dont want my grandson to have to fear this we go through searches and metal detectors to go to events why not metal detectors at schools i know some schools in ca have police presence there seems like something in our future unfortunately,Positive
0, why dont you work on showing us your tax returns oh i forgot they are under perpetual audit,Neutral
0, dare you to meet with emma gonzalez,Neutral
-1, ok lets get real you are a hypocrite and liar you dont care about anything but your ego please go away for good please,Negative
7, we love you president trump thank you thank you thank you as i recall i dont think obama showed up to anything like this do you,Positive
0, ,Neutral
0, too chicken to meet the families of the victims eh,Neutral
0, merci monsieur le prsident des tatsunis,Neutral
3, when american or white american do an act like that which has to be condamned you say that he is mentally unhealthy but when someone who is issued from muslim majority countrieswho is also american like youyou treat him an unless citizen or a terrorist,Positive
-1, did you go to the morgue,Negative
0, stay home,Neutral
-4, we got kids dying and you only spent min with the injured   you are such a degrade to america  you belong in north korea the way you run things americaneedsapresident,Negative
-1, please do not take our drivers licenses for another persons drunk driving,Negative
-2, the people who kill in mass events like the one most recently in florida is people who was abused in many ways lets start with education laws can only do so much kids living under pressure by their own parents and family members grow with many problems in their head,Negative
0, u shouldnt hv theyve suffered enough without u turning up,Neutral
1, what have you done to protect oh yeah nothing disgustingpresident,Positive
-1, many fronts beside gun control y because u invested over  million with nra,Negative
0, whmi,Neutral
1, really like what ,Positive
-1, if democrats  are wanting to ban guns to save are children  how about banning  coat hangers that they have defended  of killing  are millions of are unborn children how can you defend one not the other,Negative
6, happy president day too the greatest president ever donald j trump god has his hand on you,Positive
-1, bs,Negative
0, free the fbi of bad actorleaderships ty mrpresident,Neutral
-1,  they hate you lol,Negative
0, rubios mug is epic in your disgraceful cover photo,Neutral
-3, so you can dribble out more empty useless rhetoric,Negative
-1, lying again  you are golfing  what a joke you are  worst president ever,Negative
2,  i wish to write a letter to you  will you read it if i take the time to write you,Positive
0, buon lavoro,Neutral
0, yeah shattered by assholes like you,Neutral
0, they are brave but you are a coward cant take away guns from people,Neutral
3, these young politicians in high school just wanna cause problems because their fathers work for fbifbi has a lot of ladders to climb and they dont even know that,Positive
2, working with congress on many fronts lol  no dondo youre just watching television,Positive
1, can you fly over the bermuda triangle pretty please ,Positive
0, why dont you just leave the country  forever,Neutral
3, president trumpthe left is trying to do everything to undermine his success the one thing that americans can do it fact check anything that fake news media cnn msnbc cbs nbc and abc reports as most of it has proven to be made up about president trump trump ,Positive
2,  mr president  thank you for doing things that you said you would do,Positive
6, happy presidents day president trump since we elected donald j trump for president  america is experiencing a big economic growth the job market creating one and a half million of new jobs for americans illegal crossing almost decimated,Positive
0, and you went to party afterwards soulless trumps went straight from parkland to studio  themed disco party at maralago,Neutral
2,  take action on guns these are your words during your campaign reaching a sensible compromise on guns where are our     politicians,Positive
0,  million dollars from the nra your money means more to you than the lives of children u are worse than the shooter   ,Neutral
0, and of course golf,Neutral
1,  are you talking about your golf candiesi bet you manage a round or two,Positive
0, and golfing every day,Neutral
2, do away with assault and automatic weapons at least but i want my freedom to bear arms do you honestly believe our founding fathers wrote that amendment knowing automatic and assault rifles or even the power of simple hand guns and rifles were going to exist of course not,Positive
1, happy presidents day thank you so much for all you do for us keep fighting the good fight,Positive
0, and then keep going south,Neutral
-2, using a horrible tragedy for photo ops and personal leverageso typical if youjackass,Negative
0, good luck it is an indoctrination site expect lib blow back and blame,Neutral
2, the twitterdent of the united states will not go against the nra to much money involvedthe american people have to vote out every politician that accepts money from them plane old american greed,Positive
1, the only reason you didnt golf is someone convinced you it would be a bad look why didnt you visit victims scared but i thank you for not going,Positive
0,  what fronts are those your liarbetes kicking up did you look those people in the eyes and tell them you were going to do something again,Neutral
3, no it was just a front to meet the students you are really going to play golf and making a pit stop there tell the damn truth oh thats right you dont know how to tell the truth,Positive
-1, you mean am also going to a disco party and then playing golf instead of working to change what made this tragedy possible awfulhumanbeing  notmypresident,Negative
1, working is that between golf rounds  parties,Positive
0, brutal and chilling sounds of people crying to loved ones to come for help cell phones on pavements blood everywhere children running for their lives time and time again they wont change they will just wait it out they know that at the end of the day you dont vote,Neutral
-1, meeting the bravest people on earth at a club  party at your resort youre an ignorant narcissist,Negative
-1,  dont forget to put up the sanctions on russia  they invaded our elections,Negative
0, guncontrolnow,Neutral
-1, everyone should own a gun then everyone will think twice about shooting at someone else,Negative
0, but you said i was the bravest person on earth,Neutral
0, yeah thumbs up for the camera just for gravitas,Neutral
-1, gun control,Negative
2, guncontrolnow shameonyouwhat are you doing to help these innocent children in schoolswill you arm them with guns,Positive
3, i thank you for caring im sorry there are so many ridiculous responses on this tweet these people dont seem to get that bad guys will always find a way to be armed gun laws will not change that youve proven that you care and i appreciate all of your good work,Positive
1,  you mean the same pplyouths that called you out on your sold out soul to the nra  everybody else   good luck ,Positive
-5, youre trash unfit to meet those young victims mrbone spurs just send barron and melania youre  a stupid idiot go choke on a greasy ass burger instead lardass,Negative
2, so are you saying the disco party was not the main reason you were going to florida,Positive
0, are you in between tweets is it,Neutral
