Sentiment_Score,Tweets,Sentiment_level.score
0,  you are a true piece of work you said the russian interference began before you began running for president yet again another lie,Neutral
5,  god bless you president donald jtrumpi pray you are covered with wisdom and humilityhappy presidents day,Positive
0,  boom you just proved to the world what a fucking liar you are,Neutral
6,  again you did it thank you  you noted quite skillfully you were in the mindset to run well before russians attacked usspecial counsel just needs to sit back  take notes nosecurityclearancenojob russiansanctionsnow ,Positive
-1,  the folks at indivisable are co opting the tea party platform plus holder and crew are trying to use the census for redistricting,Negative
0,  so you admit youve been at this  not as you claim after  i see thanks for that clarification dipshit,Neutral
0,  well didnt the kkk use maga so you are part of kkk well i guess so you are so racist bigot liarso you are a part of kkk,Neutral
0,  but i thought you didnt decide until ,Neutral
0,  trumprussia,Neutral
0,  but i thought you didnt plan on running for president until after  you really should stop lying so much youre getting your stories mixed up,Neutral
-1,  why do you say here maga began in  yet you claim you didnt decide to run until  after the russia probe began oh yeah you are a liar,Negative
0,  so  is after ,Neutral
-1,  your collusion with russia on the  election which you claim began in  doesnt seem so out of place now does itresign,Negative
1,  you are not making america great again america was already great you are destroying america and us magamorons are governing america,Positive
-2,  you destroyed your own argument with your own tweet,Negative
1,  lol good thing you post about everything remember when you said the russians meddled before they knew you were running heres your own tweet you dotard,Positive
2,  the journey to maga started at cpac but just yesterday you tweeted that you nor the russians knew you would run,Positive
0,  i thought you didnt know you were running back then dipshit,Neutral
0,  so bear with me here get it if the journey to maga started in  after the whcd then russian interference and collusion in  is not unlikely youve said it yourself  it started  years ago so meuller is on the right track thank you,Neutral
0,  is that where and when you were approached by russian agents,Neutral
4,  is this magapresident donald trump rails at american companies that hire foreign workers hes not following his own advice of  openings at three of his properties including maralago only a single one went to an american according to department of labor,Positive
-3,  going to take your mistress and your porn star with you donnie or since its cpac gonna drag your miserable wife with you we see you cheatindonald,Negative
1,  so your excuse that  was way before you decided to run was bullshit just like just about everything else you say,Positive
-1,  caught lying again ,Negative
-1,  how are you this stupid,Negative
-2,  what happened to you not nong you were running until you lie so much you cant help yourself cant wait until youre in jail,Negative
2,  well thanks for clearing that up sounds alot earlier than  iin terms of your ideas for a presidential runyou make this too easy,Positive
-3,  you mean that cpac you were always too intimidated to attend because you were so crooked and often in bankruptcy that cpac,Negative
0,  wecallbs,Neutral
1,  oh boy this tweet isnt aging well little tweeting donny said he wasnt planning on running for president until after ,Positive
0,  oh you mean before  like you previously stated ,Neutral
0,  maga,Neutral
0,  so the journey began in  here but when it comes to russian interference starting in  you still hadnt started on your journey please decide which lie you want to stick to,Neutral
0,  surelike the nra,Neutral
2,  yeah nothing like a nazi rally to cheer up a far right inadequate,Positive
1,  no daca keep your campaign promise,Positive
0,  but but i thought it started after the initiation of the russian interference in    which one is correct,Neutral
1,  didnt you claim that the muellerindictments agst russians who committed crimes agst the us starting in  showed no collusion because it was before you decided to runso now youre admitting you started working on your campaign plans in  mueller  hear that,Positive
-2,  instead of getting arrested and going down as the worst president ever why dont you do a good thing and ban all assault rifles,Negative
3,  so you started running for president thenbut thats before the russian effort started you said the opposite yesterday interesting,Positive
0,   ,Neutral
0,  when youre such a moron you cant even keep all your own lies straight,Neutral
1,  want to make america great education  healthcare healthcare  education affordable for everyone not a wall not the nd amendment leave the bubble of the rich  clueless geez,Positive
0,  you mean cpac when and where you announced your bid for presidency even though in a later tweet you claimed the russian meddeling which started in  was well before you announced your tweets betray you,Neutral
1,  weres my invite gmh,Positive
-1,  maggot,Negative
-1,  you cant keep yourself out of trouble you said you didnt know in  youd be running,Negative
