"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
 -3," so throwing up a smoke screen to protect russia and of course your narcissist self is so much more important than the students who died  not what should be the rant from the wh you are so busted me thinks thou protest too much",Negative,
 -1," you really are pathetic",Negative,
  2," all news media covered this but you only watch fox do you think that planning to corrupt the usa democratic process sprung up over night no it took planning not surprised they started in   not surprised they knew you would run in  with your ties to russiacollusion",Positive,
 -1," again liar",Negative,
  1," on presidents day i reinforced how much you are an ahole and speak dung out of your filthy orifice called a mouth everyday  thank you for being a supreme ahole",Positive,
  0," you knew thats why you ran",Neutral,
  3," no matter what he does the democrats will try and turn it around they dont want him as president no matter how good he is for america",Positive,
  2," every other network is anti trump for sure",Positive,
  0," ",Neutral,
 -3,"  sucks  sucks your presidency has exposed them mr president and thats why they hate you with all theyve got",Negative,
  2," they may have had the idea then but then they just found an idiot to really screw things up when they heard you were running someone they already had golden info on for their files",Positive,
 -8," liar liar useless no good piece of shit mentally fucked up narcissistic pathetic liar not enough negative adjectives to describe you you filthy horrible horrible person ",Negative,
  2," maybe they did know since you are in touch with them on a regular basis tried to build a tower in moscow during the campaign and met with putin in ",Positive,
  0," so why did you copyright maga in  and announce you were thinking of running back in  tell us again how this was before your time",Neutral,
  1," not sure why you say this  all the media i read or listen to mention that it was formed in   thats not fake   what are you reading",Positive,
 -1," hyou are the fake news",Negative,
  0," your the fake one trump",Neutral,
  1,"  you really should think before you tweet you know that there is almost a complete history of you available ",Positive,
 -5," oh moronicus the orange youre a conman corrupt liar psychopath narcissist deprived of empathy youre a traitor puppet usurping the presidency in a russiasponsored coup detat you must be arrested and jailed mueller will crush you soon ",Negative,
 -2," russia big woop can u tell the media idiots a bigger problem is the dems want illegals to climb over wall to vote",Negative,
  0," only guilty people continue  rave as u do lockhimup",Neutral,
 -1," i suspect its was made you decide to run",Negative,
 -1," fuck you",Negative,
 -1," stop lying your toupee slipping",Negative,
  0," it is common knowledge in law enforcement that those who do not cooperate are usually guilty trump  smoke and mirrors",Neutral,
 -1," but not long before you announced youre a lunatic",Negative,
  0," january  a few months after trump stayed at the ritzcarlton moscow for miss universe  ",Neutral,
  2," you realize that you retweeted people asking you to be president a couple hundred times in  and  right maybe the dementias setting in hard and you just forgot",Positive,
  1," oh come on donald we all knew you were gonna run since like  simpsons did it",Positive,
  1," so trump will be pardoning the russians named in the indictment",Positive,
  2," yes   soon after they filmed you entertained by russian sparrow agents golden shower show",Positive,
  0," your so fucking transparent ",Neutral,
 -2," it was reported loser you watch the wrong news programs or you would know try msnbc",Negative,
  3," in  you stated you had a relationship with putinputin started supporting your campaign in the timeline seems pretty clear to us",Positive,
 -1," filing date november  registration date is july  ha ha wait u didnt knowlol keep em comin sucka ",Negative,
  0," maybe they did  when did putin tell you he wanted you to run",Neutral,
 -4," youre a liar and a traitor rot in hell",Negative,
 -4," yeah they probably did know before you thats what kompromat and blackmail is for you buffoon you damn sure dont have a problem calling anyone else outbut not putin eh we know whos boss you little coward i hope you choke on your chins",Negative,
  1," weve known its been going on for a while since it became apparent the success they finally had in the last election   where have you been  oh yeahyouve been denying it ever happened at all",Positive,
  0," then how come you trademarked maga in november ",Neutral,
  1," so you started the process in  thanks for the information you twat",Positive,
  1," mr president what are you arguing",Positive,
