Sentiment_Score,Tweets,Sentiment_level.score
7, america the beautiful needs to remain beautiful  immigrants who do not believe this or love the us should not b welcome  charity starts at home  we always should of respected ourselves in the god we trust,Positive
0, temporary solution for illegals until immigration is fixed all illegals living in us illegally should be temporarily relocated to california the headquarters for pro illegal immigration where it is accepted illegals should be restricted from leaving ca until legalized,Neutral
-2, lying fraud,Negative
0, its ok to bring other companies into the usa but its not ok for there people  worst president you made it in the world record book of genesis,Neutral
0, they dont care about daca only votes,Neutral
3, we demand a nation secure from criminals drugs terrorists that call america the great satan we are not the worlds welfare system only  work and have a heavyenough burden supporting our families let alone the other  that wont workpass pillarsofimmigration ,Positive
1, merit based visa  there is lot of abuse on eb  international manager category by many companies this abuse can be stopped if eb category for international manager will have to show min salary of k  adjusted to cost of living of city   ,Positive
-2, go the fuck home you bald fucker cheater rapo,Negative
-2, what companies  lier lier pants on fire,Negative
1, isis  are beheading christians  in quaragosh iraq please help the christians there,Positive
-1, cant wait until you are gone,Negative
0, think about it you probably would not have been allowed if we were going on a meritbased system,Neutral
0, please shut the fk uplearn to dribble ,Neutral
-2,  innocent children killed last week and not a result of an illegal immigrant or immigrant for that matter but immigrants seems to be the problem hmm,Negative
0, speaking of a position that needs to be meritbased ,Neutral
5, currently you have not shown that any more companies are moving into the usa than is normal  labor a strong criteria of a booming economy was down  over  total new labor numbers also the unemployment rate went down because of more retirees than new jobs created,Positive
2, the true story is white america is worried about being out number over thrown and one day no matter what you  devilsdo its going to happen look at what u have started im so happy they voted you init shows who u ppl truly are dumbies,Positive
11, lets talk deal settle for no less than full immunity and mercy and understanding for my family including my  top men in life and r mom and protection  life for my dads properties on bockstanz rd til end of time help flying chinchilla monster if u r real left tooth under pillow,Positive
7, help i need somebody help not just anybody help help help plz if ur ufo ship exists u will find way to reach us where we at help,Positive
3, sheriff kim cole is a racist and using gods name in vain making jesus cry in mason  county michigan were from the  homie lets talk a deal only turst u and ur fam pres trump to talk with tho help make usa famles great again plz,Positive
-1,  democracktic cabinets while hillary seemed to strong in s her stnding my her man wh was pervert made me think i needed  stand by abusive bfs when i grewing up,Negative
-2, while yall r doin ur thing we underground in the dead zone  farmers need  toil earth and hopefully meet in middle someday,Negative
3, exactly all better nations careful about immigrants we can not afford policies of past,Positive
1, i think  people a year coming in is to much this hotel is full,Positive
0, ,Neutral
0, liarno companies coming here,Neutral
0, you should strongly consider learning how capitalization works whats wrong with you such a sad little man,Neutral
0, how can you get rid of daca when majority of the people effected have contributed to this country more than you have and people voted for you lies on top of lies,Neutral
-1, show them the electoral map we have the mandate you have the mandate do not trust mcconnel or ryan make them follow our your mandate then drain the swamp,Negative
2, are mitch mcconnel and paul ryan telling you this is the path you should be on if so run away they are not your friends nor are they ours we do not want daca we want the wall we want to eliminate anchor babies chain migration etc you have the mandate show them the,Positive
1, duh most of them already are the white trash  slugs that voted for you should be on a merit system,Positive
2, worrying about gun safety should be your number  priority right now or receiving all that money from the nra better then your american citizens and the future of this country,Positive
0, what companies are those,Neutral
1, jes and willing to come here legally ,Positive
-1, you mean like your porn actress wife and her parents certainly need more like them dotard,Negative
-1, we have laws that covers these type of situations washington dc nobody wants to be the bad guy in force the laws of this land now,Negative
2, i agree mr president,Positive
5, illegal invaders sheltered by daca or anyone else getting an amnesty deal should never be allowed to vote  will all vote democrat give them refugee status but no voting rights  we owe these people nothing amnesty is rewarding criminal behavior at taxpayer expense,Positive
-1, are you and javonka moving yours back  liar hypocrite,Negative
2, disagreehow can you determine potential ahead of time,Positive
-1, why u stupid,Negative
-1, you are such a liar,Negative
1, how about instead of tweeting about yourself you tweet about how you are going to protect schools from more shootings,Positive
-1, fuck you,Negative
2, dems after their own interests not that of imagrants admitting should be on merit nothing more,Positive
3, if the d dont agree take back your  m daca addition and start deporting them the art of the deal,Positive
3, president trump you have won in bringing down america right from the start all your big mouth has done is talk negatve  im so ashamed of you,Positive
4, oh you mean immigrants who arent like your wifes familydon the con trump  supporting chain migration of unskilled immigrants since well at least one of them was willing to do a job no decent american would dotrumprussia illegitimatepresident russiancoup,Positive
-1, bill shit,Negative
0, too bad they didnt have that merit based system when your family wanted to come here donnie,Neutral
-2, one day later you said dems doing nothing damn are you stupid or just an asshole,Negative
4, i thought there was such a system  my brother from zengland who   had enough money to retire on and build as home here  he put in for a visa and waited almost eleven years by then his wife was ill so they had to pass on it my question why did it take so  long,Positive
1, what was the criteria used for melanias parents  rumor has no degrees not sure about occupation   nov ,Positive
