"Sentiment_Score","Tweets","Sentiment_level.score","Sentiment_level.text"
  0," and you are dumb enough to believe this haha",Neutral,
 -2," what is the administration doing to address the russian interference with the election it seems that you have done nothing but tweet a bunch of bs do your job loser",Negative,
  0," ",Neutral,
 -2," thats only facebook you are such a douche bag filed with fake news",Negative,
  1," because putin told you right traitors",Positive,
 -1," hahahahahahahahahahahahahahahahahahahahahahahahahahahahayoure going to jail  putinspuppet",Negative,
 -1," since you are an agent of the russian government id guess youd probably have to say that  i think youll find mueller something very very different",Negative,
 -3," rosenstein said there is no allegation in the indictment that any american was a knowing participant in the scheme  nor is there any allegation that the scheme affected the outcome of the election",Negative,
 -1," youre a cheap suit",Negative,
 -2," what did you think they were going to say you idiot methinks thou dost protest too much  muellers coming for donnie",Negative,
  1," says the facebook ad executive trying save his job",Positive,
 -4," such a little man with little hands and a little mind  but a huge ego",Negative,
 -7," liar you havent seen shit and you know it because it wasnt on fox fake nuisance channel on in the enquirer cage lining paper you need to stop getting your news from russia or from some alien from mars america first remember",Negative,
  4," rob is a vp for facebook he has to say things like that to protect his business facebook is a business we are more interested in knowing what you are going to do to stop russians meddling in our elections do good",Positive,
  2," god bless america",Positive,
 -2," reeeeelly only idiot would repeat such bs",Negative,
  0," you sir are an idiot",Neutral,
  0," so no one showed you the adds all this time until now  as much as you love tv you have not once looked at the evidence youve been denying what do you do watch cartoons and fox propoganda all day",Neutral,
  0," where are the sanctions",Neutral,
  4," no dumfuckthe main goal was to create discorddivisions in the us  this would ultimately help a traitor such as yourself win",Positive,
 -3," so do your bots tweet like you and regurgitate s of uponupon a liar telling another liar his lies wheres the fly emoticon i know you need picturesresignnow",Negative,
  0," tool",Neutral,
 -1," puff prosecution  nothing more  remember this is a campaign technique not an investigation",Negative,
  0," bahahahaaa you have not seen all the russian ads you twit",Neutral,
  0," if swaying the election was not the goal then disrupting the american democratic process was  that deserves your outrage",Neutral,
  0," when can we see the facebook russian ads nobody has seen them im sure but perhaps they were funny at least",Neutral,
  0," if russias objective was to divide us against ourselves then john michael greer called it in  in his blog post that became the novel twilights last gleaming",Neutral,
  0," shame  on fb shame on russia but mostly shame on you for being the worst president in our history  do something great for america and just go away you have done enough here move on",Neutral,
 -1," but what are you doing another tweet from robthere are easy ways to fight this disinformation is ineffective against a well educated citizenry  finland sweden and holland have all taught digital literacy and critical thinking about misinformation to great effect",Negative,
